"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"etoh_blank","Unknown",-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,""
"before_1","Unknown",-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.002,0.004,""
"after_1","Unknown",-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.002,""
"before_2","Unknown",0.000,0.073,0.073,0.072,0.025,0.018,0.035,0.089,""
"after_2","Unknown",0.001,0.045,0.045,0.044,0.014,0.007,0.031,0.102,""
"before_4","Unknown",-0.000,0.071,0.070,0.069,0.022,0.015,0.036,0.085,""
"after_4","Unknown",0.000,0.044,0.043,0.042,0.012,0.006,0.033,0.093,""
"before_5","Unknown",-0.002,0.033,0.033,0.033,0.011,0.007,0.015,0.044,""
"after_5","Unknown",-0.001,0.021,0.020,0.020,0.006,0.002,0.013,0.049,""
"before_3","Unknown",-0.001,0.175,0.174,0.171,0.050,0.035,0.100,0.194,""
"after_3","Unknown",-0.000,0.103,0.101,0.098,0.027,0.013,0.095,0.220,""
"before_6","Unknown",0.000,0.405,0.403,0.396,0.113,0.083,0.233,0.403,""
"after_6","Unknown",0.001,0.232,0.228,0.221,0.058,0.030,0.217,0.477,""
"before_7","Unknown",-0.000,0.037,0.037,0.036,0.013,0.009,0.017,0.048,""
"after_7","Unknown",-0.000,0.024,0.024,0.023,0.008,0.004,0.016,0.055,""
"before_8","Unknown",-0.000,0.121,0.120,0.119,0.035,0.024,0.063,0.130,""
"after_8","Unknown",0.000,0.071,0.070,0.068,0.019,0.009,0.060,0.149,""
"before_9","Unknown",0.001,0.183,0.182,0.179,0.052,0.038,0.098,0.198,""
"after_9","Unknown",0.001,0.109,0.107,0.104,0.029,0.015,0.096,0.226,""
"before_10","Unknown",0.000,0.070,0.070,0.069,0.024,0.017,0.028,0.082,""
"after_10","Unknown",0.001,0.043,0.043,0.042,0.014,0.007,0.026,0.094,""
"before_11","Unknown",0.000,0.122,0.122,0.120,0.036,0.025,0.066,0.134,""
"after_11","Unknown",0.001,0.073,0.071,0.069,0.020,0.010,0.063,0.153,""
"before_12","Unknown",0.001,0.147,0.147,0.145,0.047,0.033,0.077,0.166,""
"after_12","Unknown",0.001,0.091,0.089,0.087,0.027,0.014,0.068,0.191,""
"before_13","Unknown",0.001,0.304,0.302,0.297,0.086,0.064,0.133,0.291,""
"after_13","Unknown",0.001,0.176,0.173,0.168,0.046,0.024,0.126,0.347,""
"before_14","Unknown",0.001,0.002,0.001,0.001,0.001,0.001,0.002,0.004,""
"after_14","Unknown",0.001,0.002,0.002,0.002,0.001,0.000,0.002,0.005,""
"before_15","Unknown",0.003,0.059,0.058,0.058,0.023,0.017,0.029,0.076,""
"after_15","Unknown",0.003,0.037,0.036,0.036,0.014,0.008,0.026,0.083,""
"before_16","Unknown",0.002,0.319,0.317,0.312,0.091,0.067,0.150,0.317,""
"after_16","Unknown",0.002,0.183,0.179,0.174,0.047,0.025,0.140,0.373,""
"before_17","Unknown",0.001,0.166,0.164,0.161,0.049,0.038,0.118,0.192,""
"after_17","Unknown",0.002,0.102,0.101,0.098,0.028,0.014,0.104,0.222,""
"before_18","Unknown",0.001,0.039,0.039,0.039,0.014,0.010,0.019,0.051,""
"after_18","Unknown",0.001,0.025,0.025,0.024,0.009,0.004,0.017,0.058,""
"before_19","Unknown",0.001,0.215,0.214,0.211,0.062,0.045,0.079,0.201,""
"after_19","Unknown",0.001,0.125,0.123,0.119,0.033,0.017,0.076,0.240,""
"before_20","Unknown",0.001,0.256,0.255,0.251,0.073,0.053,0.134,0.251,""
"after_20","Unknown",0.002,0.148,0.145,0.141,0.039,0.020,0.130,0.295,""
"before_21","Unknown",0.002,0.092,0.092,0.091,0.033,0.025,0.052,0.120,""
"after_21","Unknown",0.002,0.060,0.059,0.058,0.021,0.013,0.051,0.131,""
"before_23","Unknown",0.001,0.073,0.072,0.071,0.023,0.016,0.038,0.086,""
"after_23","Unknown",0.001,0.046,0.045,0.044,0.014,0.008,0.036,0.096,""
"before_24","Unknown",0.002,0.211,0.210,0.206,0.060,0.044,0.158,0.225,""
"after_24","Unknown",0.002,0.124,0.122,0.118,0.033,0.018,0.151,0.259,""
"before_25","Unknown",0.003,0.160,0.160,0.158,0.048,0.035,0.088,0.167,""
"before_26","Unknown",0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.007,""
"after_26","Unknown",0.003,0.004,0.004,0.004,0.003,0.003,0.005,0.007,""
"before_27","Unknown",0.003,0.299,0.298,0.293,0.084,0.062,0.184,0.295,""
"after_27","Unknown",0.004,0.173,0.170,0.164,0.046,0.024,0.180,0.344,""
"after_27_correct","Unknown",0.003,0.172,0.169,0.164,0.045,0.024,0.177,0.347,""
