"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"EtOH_blank","Unknown",0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,""
"before_1","Unknown",0.003,0.160,0.159,0.157,0.053,0.041,0.070,0.196,""
"after_1","Unknown",0.004,0.100,0.099,0.096,0.033,0.019,0.068,0.221,""
"before_2","Unknown",0.002,0.063,0.063,0.062,0.022,0.017,0.036,0.074,""
"after_2","Unknown",0.002,0.038,0.037,0.037,0.012,0.007,0.034,0.084,""
"before_3","Unknown",0.002,0.163,0.162,0.160,0.057,0.042,0.068,0.207,""
"after_3","Unknown",0.002,0.102,0.100,0.098,0.034,0.018,0.064,0.231,""
"before_4","Unknown",0.001,0.052,0.052,0.052,0.021,0.013,0.023,0.062,""
"after_4","Unknown",0.001,0.032,0.031,0.031,0.013,0.006,0.020,0.069,""
"before_5","Unknown",0.000,0.219,0.218,0.214,0.057,0.044,0.184,0.225,""
"after_5","Unknown",0.001,0.124,0.122,0.118,0.029,0.015,0.177,0.263,""
"before_6","Unknown",0.001,0.402,0.400,0.392,0.108,0.083,0.313,0.402,""
"after_6","Unknown",0.001,0.229,0.225,0.218,0.056,0.029,0.302,0.472,""
"before_7","Unknown",0.002,0.125,0.126,0.127,0.054,0.031,0.050,0.153,""
"after_7","Unknown",0.002,0.079,0.080,0.080,0.032,0.014,0.045,0.171,""
"before_8","Unknown",0.001,0.093,0.093,0.092,0.035,0.023,0.045,0.121,""
"after_8","Unknown",0.001,0.059,0.058,0.057,0.021,0.010,0.039,0.133,""
"before_9","Unknown",0.003,0.036,0.036,0.036,0.015,0.011,0.021,0.052,""
"after_9","Unknown",0.003,0.024,0.024,0.023,0.010,0.006,0.019,0.055,""
"before_10","Unknown",0.001,0.000,0.000,0.001,0.001,0.001,0.002,0.003,""
"after_10","Unknown",0.001,-0.000,0.000,0.000,0.000,0.000,0.001,0.002,""
"before_11","Unknown",0.002,0.053,0.053,0.053,0.021,0.014,0.029,0.064,""
"after_11","Unknown",0.002,0.033,0.032,0.032,0.013,0.007,0.026,0.071,""
"before_12","Unknown",0.002,0.232,0.231,0.228,0.074,0.055,0.090,0.251,""
"after_12","Unknown",0.002,0.143,0.141,0.138,0.043,0.022,0.087,0.285,""
"before_13","Unknown",0.001,0.035,0.035,0.034,0.013,0.009,0.018,0.048,""
"after_13","Unknown",0.001,0.022,0.022,0.021,0.007,0.004,0.016,0.051,""
"before_14","Unknown",0.003,0.076,0.076,0.075,0.028,0.021,0.033,0.092,""
"after_14","Unknown",0.003,0.046,0.046,0.045,0.017,0.011,0.032,0.106,""
"before_15","Unknown",-0.000,0.067,0.067,0.067,0.027,0.015,0.024,0.070,""
"after_15","Unknown",-0.000,0.040,0.040,0.039,0.016,0.006,0.021,0.081,""
"before_16","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,""
"after_16","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"before_17","Unknown",0.000,0.042,0.042,0.042,0.016,0.010,0.017,0.050,""
"acid_17","Unknown",0.000,0.026,0.025,0.025,0.009,0.004,0.015,0.056,""
"before_18","Unknown",0.002,0.096,0.096,0.095,0.037,0.024,0.040,0.119,""
"before_19","Unknown",0.000,0.050,0.050,0.049,0.015,0.010,0.040,0.059,""
"after_19","Unknown",0.001,0.030,0.030,0.029,0.009,0.004,0.037,0.066,""
"before_20","Unknown",0.000,0.063,0.063,0.063,0.026,0.015,0.025,0.069,""
"after_20","Unknown",0.001,0.038,0.038,0.037,0.015,0.006,0.021,0.078,""
"before_21","Unknown",-0.001,-0.001,-0.001,-0.000,-0.001,-0.001,-0.001,-0.001,""
"before_22","Unknown",0.001,0.164,0.163,0.161,0.053,0.040,0.080,0.190,""
"after_22","Unknown",0.002,0.099,0.098,0.095,0.030,0.015,0.074,0.217,""
"before_23","Unknown",0.001,0.034,0.034,0.034,0.015,0.009,0.016,0.046,""
"after_23","Unknown",0.001,0.021,0.021,0.021,0.009,0.004,0.014,0.049,""
"before_24","Unknown",0.000,0.100,0.099,0.098,0.030,0.022,0.045,0.120,""
"after_24","Unknown",0.001,0.062,0.061,0.060,0.018,0.009,0.043,0.133,""
"before_25","Unknown",0.001,0.289,0.287,0.282,0.075,0.057,0.371,0.321,""
"after_25","Unknown",0.001,0.164,0.161,0.156,0.039,0.020,0.349,0.371,""
"before_26","Unknown",0.001,0.378,0.376,0.369,0.101,0.078,0.302,0.376,""
"after_26","Unknown",0.001,0.216,0.212,0.205,0.053,0.027,0.291,0.441,""
"before_27","Unknown",0.001,0.206,0.205,0.201,0.055,0.043,0.215,0.229,""
"before_28","Unknown",0.002,0.071,0.072,0.071,0.029,0.020,0.035,0.094,""
"after_28","Unknown",0.003,0.046,0.046,0.045,0.019,0.010,0.031,0.101,""
"before_29","Unknown",0.001,0.171,0.170,0.167,0.047,0.035,0.162,0.185,""
"after_29","Unknown",0.001,0.098,0.096,0.094,0.025,0.013,0.153,0.213,""
"before_30","Unknown",0.002,0.048,0.049,0.049,0.022,0.016,0.031,0.074,""
"after_30","Unknown",0.003,0.032,0.031,0.031,0.015,0.009,0.027,0.078,""
"before_31","Unknown",0.001,0.227,0.226,0.222,0.061,0.047,0.225,0.250,""
"after_31","Unknown",0.002,0.130,0.128,0.124,0.033,0.017,0.214,0.288,""
"before_32","Unknown",0.002,0.251,0.249,0.245,0.067,0.053,0.243,0.257,""
"after_32","Unknown",0.002,0.143,0.140,0.136,0.035,0.019,0.233,0.301,""
"before_33","Unknown",0.002,0.029,0.029,0.029,0.012,0.009,0.021,0.049,""
"after_33","Unknown",0.002,0.019,0.018,0.018,0.008,0.005,0.018,0.051,""
