"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"etoh_blank","Unknown",0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,""
"1_before","Unknown",0.001,0.038,0.038,0.038,0.014,0.010,0.016,0.050,""
"1_after","Unknown",0.001,0.025,0.024,0.024,0.009,0.005,0.014,0.055,""
"2_before","Unknown",0.001,0.046,0.046,0.045,0.017,0.012,0.020,0.062,""
"2_after","Unknown",0.001,0.029,0.029,0.028,0.011,0.006,0.018,0.067,""
"3_before","Unknown",0.002,0.089,0.089,0.088,0.031,0.022,0.036,0.098,""
"3_after","Unknown",0.002,0.054,0.054,0.052,0.018,0.010,0.034,0.113,""
"4_before","Unknown",0.001,0.047,0.047,0.046,0.018,0.013,0.023,0.065,""
"4_after","Unknown",0.001,0.029,0.029,0.028,0.011,0.006,0.021,0.071,""
"5_before","Unknown",-0.001,-0.000,-0.000,-0.001,-0.001,-0.000,0.000,0.001,""
"5_after","Unknown",-0.000,-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,""
"5_after_correct","Unknown",-0.000,-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,0.001,""
"6_before","Unknown",0.001,0.120,0.120,0.118,0.039,0.027,0.060,0.151,""
"6_after","Unknown",0.001,0.074,0.073,0.071,0.023,0.012,0.058,0.166,""
"7_before","Unknown",0.000,0.038,0.038,0.037,0.013,0.009,0.014,0.044,""
"7_after","Unknown",0.001,0.024,0.023,0.023,0.008,0.004,0.014,0.051,""
"8_before","Unknown",0.001,0.096,0.096,0.095,0.032,0.022,0.048,0.117,""
"8_after","Unknown",0.001,0.062,0.060,0.059,0.020,0.010,0.046,0.128,""
"9_before","Unknown",0.000,0.026,0.026,0.025,0.009,0.007,0.019,0.038,""
"9_after","Unknown",0.001,0.017,0.016,0.016,0.006,0.003,0.017,0.041,""
"10_before","Unknown",0.001,0.046,0.046,0.045,0.017,0.013,0.022,0.063,""
"10_after","Unknown",0.001,0.029,0.028,0.028,0.011,0.006,0.020,0.069,""
