"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"b1_b","Unknown",-0.001,-0.001,-0.001,-0.001,-0.000,0.000,-0.000,0.001,""
"b1_a","Unknown",0.000,-0.000,-0.000,-0.000,0.001,0.001,0.001,0.003,""
"1b","Unknown",0.000,0.048,0.047,0.046,0.016,0.013,0.040,0.082,""
"1a","Unknown",0.001,0.033,0.032,0.031,0.011,0.007,0.038,0.086,""
"2a","Unknown",-0.000,0.025,0.025,0.024,0.008,0.006,0.018,0.040,"2a and b are switched"
"2b","Unknown",0.000,0.016,0.016,0.016,0.006,0.004,0.018,0.044,""
"3b","Unknown",-0.000,0.045,0.045,0.044,0.016,0.014,0.055,0.108,""
"3a","Unknown",0.000,0.030,0.030,0.029,0.010,0.006,0.049,0.111,""
"4b","Unknown",0.000,0.037,0.037,0.036,0.013,0.010,0.033,0.067,""
"4a","Unknown",0.000,0.024,0.024,0.023,0.008,0.005,0.031,0.070,""
"5b","Unknown",0.000,0.013,0.013,0.013,0.005,0.004,0.010,0.027,""
"5a","Unknown",0.000,0.008,0.008,0.008,0.004,0.002,0.010,0.027,""
"6b","Unknown",-0.001,0.016,0.016,0.016,0.005,0.004,0.010,0.025,""
"6a","Unknown",-0.000,0.010,0.009,0.009,0.003,0.002,0.010,0.027,""
"7b","Unknown",-0.000,0.016,0.016,0.016,0.006,0.005,0.012,0.027,""
"7a","Unknown",0.000,0.010,0.010,0.010,0.004,0.003,0.012,0.028,""
"8b","Unknown",-0.001,0.017,0.017,0.017,0.007,0.006,0.013,0.027,""
"8a","Unknown",-0.000,0.011,0.011,0.010,0.004,0.003,0.012,0.029,""
"9b","Unknown",0.002,0.016,0.016,0.016,0.008,0.007,0.013,0.026,""
"9a","Unknown",0.002,0.011,0.011,0.010,0.006,0.004,0.012,0.027,""
"10b","Unknown",0.000,0.057,0.056,0.055,0.019,0.015,0.043,0.090,""
"10a","Unknown",0.001,0.038,0.038,0.036,0.013,0.008,0.040,0.094,""
"11b","Unknown",-0.000,0.015,0.015,0.015,0.005,0.004,0.011,0.026,""
"11a","Unknown",0.000,0.009,0.009,0.009,0.003,0.002,0.010,0.026,""
"12b","Unknown",-0.001,0.018,0.018,0.017,0.006,0.005,0.012,0.027,""
"12a","Unknown",-0.000,0.011,0.010,0.010,0.003,0.002,0.011,0.029,""
"23b","Unknown",0.004,0.054,0.054,0.053,0.020,0.018,0.056,0.074,""
"23a","Unknown",0.005,0.035,0.035,0.034,0.014,0.012,0.053,0.082,""
"24b","Unknown",0.000,0.118,0.117,0.115,0.032,0.025,0.219,0.151,""
"24a","Unknown",0.000,0.070,0.068,0.066,0.018,0.010,0.211,0.172,""
"25b","Unknown",-0.000,0.108,0.107,0.105,0.029,0.022,0.176,0.129,""
"25a","Unknown",-0.000,0.065,0.064,0.061,0.016,0.009,0.171,0.150,""
"26b","Unknown",-0.000,0.089,0.088,0.086,0.023,0.018,0.172,0.112,""
"26a","Unknown",-0.000,0.052,0.051,0.049,0.012,0.007,0.165,0.127,""
"27b","Unknown",-0.000,0.117,0.117,0.114,0.033,0.024,0.133,0.134,""
"27a","Unknown",-0.000,0.070,0.069,0.067,0.018,0.009,0.127,0.153,""
"28b","Unknown",-0.000,0.128,0.128,0.126,0.037,0.027,0.145,0.147,""
"28a","Unknown",-0.000,0.077,0.076,0.074,0.021,0.011,0.139,0.169,""
"29b","Unknown",-0.001,0.117,0.116,0.114,0.036,0.026,0.086,0.126,""
"29a","Unknown",-0.000,0.070,0.069,0.067,0.021,0.010,0.080,0.147,""
"30b","Unknown",0.001,0.084,0.083,0.081,0.024,0.019,0.146,0.103,""
"30a","Unknown",0.001,0.049,0.048,0.047,0.014,0.008,0.140,0.118,""
"b2_b","Unknown",-0.002,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0.001,""
"b2_a","Unknown",-0.001,-0.002,-0.002,-0.002,-0.001,-0.001,-0.001,-0.001,""
"13b","Unknown",-0.000,0.063,0.062,0.061,0.020,0.015,0.051,0.103,""
"13a","Unknown",-0.000,0.043,0.042,0.041,0.014,0.008,0.049,0.108,""
"14b","Unknown",0.001,0.573,0.571,0.562,0.172,0.121,0.256,0.566,""
"14a","Unknown",0.001,0.352,0.346,0.335,0.100,0.049,0.231,0.688,""
"15b","Unknown",-0.001,0.103,0.102,0.101,0.029,0.021,0.117,0.117,""
"15a","Unknown",-0.000,0.062,0.061,0.059,0.016,0.008,0.112,0.136,""
"16b","Unknown",0.001,0.749,0.749,0.739,0.233,0.166,0.273,0.708,""
"16a","Unknown",0.001,0.448,0.441,0.428,0.130,0.064,0.254,0.869,""
"17b","Unknown",-0.000,0.283,0.282,0.276,0.084,0.061,0.171,0.310,""
"17a","Unknown",0.000,0.176,0.173,0.168,0.050,0.025,0.163,0.356,""
"18b","Unknown",-0.001,0.122,0.121,0.119,0.041,0.029,0.073,0.158,""
"18a","Unknown",-0.000,0.079,0.078,0.076,0.027,0.013,0.067,0.175,""
"19b","Unknown",-0.001,0.084,0.084,0.082,0.022,0.018,0.160,0.105,""
"19a","Unknown",-0.000,0.049,0.048,0.046,0.012,0.006,0.153,0.120,""
"20b","Unknown",0.003,0.094,0.093,0.091,0.029,0.023,0.135,0.113,""
"20a","Unknown",0.003,0.058,0.057,0.055,0.018,0.012,0.129,0.129,""
"21b","Unknown",-0.001,0.084,0.084,0.082,0.022,0.017,0.147,0.100,""
"21a","Unknown",-0.001,0.048,0.047,0.046,0.012,0.006,0.140,0.115,""
"b3_b","Unknown",-0.001,-0.001,-0.001,-0.001,-0.000,0.000,0.000,0.001,""
"b3_a","Unknown",-0.001,-0.001,-0.001,-0.001,-0.000,-0.000,-0.000,0.000,""
"22b","Unknown",-0.000,0.079,0.078,0.077,0.022,0.017,0.116,0.093,""
"22a","Unknown",0.000,0.047,0.046,0.044,0.012,0.007,0.111,0.106,""
