"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"b1","Unknown",-0.001,-0.004,-0.005,-0.004,0.001,-0.004,-0.005,-0.004,""
"a1","Unknown",-0.000,-0.004,-0.005,-0.005,0.000,-0.004,-0.005,-0.005,""
"b2","Unknown",-0.001,-0.005,-0.006,-0.005,0.000,-0.004,-0.006,-0.005,""
"a2","Unknown",-0.000,-0.004,-0.005,-0.005,0.000,-0.004,-0.005,-0.005,""
"b3","Unknown",-0.001,-0.004,-0.005,-0.005,0.000,-0.004,-0.005,-0.004,""
"a3","Unknown",-0.001,-0.005,-0.005,-0.005,0.000,-0.004,-0.005,-0.005,""
"b4","Unknown",0.091,0.176,0.175,0.175,0.137,0.123,0.161,0.235,""
"a4","Unknown",0.084,0.139,0.138,0.138,0.118,0.104,0.147,0.235,""
"b5","Unknown",0.002,0.131,0.130,0.128,0.051,0.030,0.073,0.158,""
"a5","Unknown",0.003,0.084,0.082,0.081,0.035,0.013,0.068,0.181,""
"b6","Unknown",-0.000,0.089,0.088,0.087,0.037,0.019,0.044,0.125,""
"a6","Unknown",0.000,0.058,0.056,0.055,0.025,0.007,0.039,0.134,""
"b7","Unknown",0.001,0.096,0.095,0.095,0.042,0.021,0.041,0.105,""
"a7","Unknown",0.001,0.057,0.056,0.055,0.026,0.008,0.037,0.120,""
"b8","Unknown",-0.001,0.306,0.304,0.298,0.081,0.058,0.342,0.317,""
"a8","Unknown",-0.000,0.172,0.168,0.163,0.042,0.018,0.325,0.373,""
"b9","Unknown",-0.000,0.114,0.112,0.111,0.035,0.021,0.107,0.136,""
"a9","Unknown",0.000,0.067,0.065,0.063,0.021,0.007,0.102,0.154,""
"b10","Unknown",0.000,0.103,0.101,0.100,0.041,0.022,0.052,0.139,""
"a10","Unknown",0.000,0.065,0.064,0.063,0.027,0.009,0.047,0.150,""
"b11","Unknown",0.001,0.181,0.179,0.177,0.061,0.037,0.126,0.216,""
"a11","Unknown",0.001,0.112,0.109,0.107,0.038,0.014,0.118,0.244,""
"b12","Unknown",0.001,0.044,0.043,0.043,0.019,0.010,0.029,0.082,""
