"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"b1","Unknown",-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.006,""
"a1","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.007,-0.006,""
"b2","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.006,""
"a2","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.007,""
"b3","Unknown",-0.004,0.068,0.068,0.067,0.019,0.012,0.040,0.089,""
"a3","Unknown",-0.004,0.059,0.058,0.057,0.016,0.008,0.039,0.095,""
"b4","Unknown",-0.004,0.140,0.139,0.137,0.043,0.027,0.064,0.158,""
"a4","Unknown",-0.004,0.134,0.133,0.131,0.041,0.025,0.064,0.161,""
"b5","Unknown",-0.004,0.046,0.046,0.046,0.013,0.006,0.023,0.053,""
"a5","Unknown",-0.004,0.027,0.027,0.026,0.006,-0.000,0.020,0.059,""
"b6","Unknown",-0.004,0.067,0.067,0.066,0.018,0.011,0.039,0.088,""
"a6","Unknown",-0.004,0.041,0.041,0.039,0.010,0.002,0.035,0.097,""
"b7","Unknown",-0.005,0.104,0.104,0.102,0.028,0.017,0.084,0.107,""
"a7","Unknown",-0.004,0.059,0.058,0.057,0.013,0.003,0.080,0.125,""
"b8","Unknown",-0.004,0.044,0.044,0.043,0.014,0.006,0.015,0.048,""
"a8","Unknown",-0.004,0.028,0.028,0.027,0.009,0.001,0.015,0.056,""
"b9","Unknown",-0.004,0.041,0.041,0.041,0.010,0.005,0.015,0.047,""
"a9","Unknown",-0.004,0.025,0.024,0.024,0.004,-0.001,0.014,0.054,""
"b10","Unknown",-0.004,0.110,0.110,0.108,0.038,0.021,0.050,0.128,""
"b11","Unknown",-0.003,0.069,0.068,0.067,0.018,0.011,0.059,0.073,""
"a11","Unknown",-0.003,0.040,0.039,0.038,0.009,0.002,0.055,0.085,""
"b12","Unknown",-0.003,0.050,0.050,0.050,0.013,0.007,0.022,0.057,""
"a12","Unknown",-0.003,0.032,0.031,0.031,0.007,0.001,0.021,0.066,""
"b13","Unknown",-0.002,0.075,0.076,0.075,0.029,0.016,0.028,0.079,""
"a13","Unknown",-0.002,0.046,0.045,0.045,0.018,0.006,0.025,0.093,""
"b14","Unknown",-0.003,0.049,0.049,0.048,0.014,0.009,0.023,0.073,""
"a14","Unknown",-0.002,0.032,0.031,0.030,0.008,0.003,0.021,0.078,""
"b15","Unknown",-0.003,0.031,0.031,0.031,0.008,0.004,0.018,0.046,""
"a15","Unknown",-0.003,0.019,0.019,0.018,0.004,0.000,0.016,0.050,""
"b16","Unknown",-0.002,0.057,0.057,0.057,0.023,0.013,0.032,0.064,""
"a16","Unknown",-0.001,0.049,0.049,0.049,0.020,0.010,0.031,0.068,""
"b17","Unknown",-0.001,0.046,0.046,0.045,0.015,0.009,0.027,0.054,""
"a17","Unknown",-0.000,0.029,0.029,0.029,0.010,0.004,0.025,0.061,""
"b18","Unknown",-0.002,0.056,0.057,0.057,0.019,0.010,0.024,0.070,""
"a18","Unknown",-0.002,0.036,0.036,0.036,0.011,0.003,0.023,0.079,""
"b19","Unknown",-0.002,0.072,0.071,0.070,0.019,0.014,0.057,0.084,""
"a19","Unknown",-0.002,0.043,0.042,0.041,0.010,0.003,0.054,0.096,""
"b20","Unknown",0.006,0.026,0.026,0.026,0.013,0.011,0.017,0.039,""
"a20","Unknown",0.007,0.021,0.021,0.021,0.012,0.009,0.017,0.040,""
"b10DIL","Unknown",0.004,0.047,0.048,0.047,0.021,0.015,0.028,0.059,""
"a10DIL","Unknown",0.002,0.028,0.028,0.028,0.011,0.006,0.021,0.058,""
"b21","Unknown",-0.002,0.416,0.413,0.405,0.109,0.084,0.394,0.476,""
"a21","Unknown",-0.002,0.242,0.237,0.229,0.057,0.029,0.384,0.554,""
"b22","Unknown",-0.002,0.480,0.476,0.466,0.123,0.094,0.563,0.553,""
"a22","Unknown",-0.002,0.282,0.276,0.266,0.064,0.033,0.551,0.651,""
"b23","Unknown",-0.001,0.095,0.095,0.093,0.028,0.020,0.036,0.101,""
"a23","Unknown",-0.001,0.057,0.056,0.055,0.016,0.007,0.035,0.124,""
"b24","Unknown",-0.002,0.057,0.056,0.055,0.017,0.011,0.036,0.071,""
"a24","Unknown",-0.001,0.034,0.034,0.033,0.010,0.003,0.033,0.081,""
"b25","Unknown",-0.001,0.068,0.067,0.066,0.019,0.013,0.029,0.073,""
"a25","Unknown",-0.001,0.042,0.041,0.040,0.011,0.005,0.028,0.085,""
"b26","Unknown",-0.001,0.031,0.031,0.031,0.009,0.006,0.024,0.042,""
"a26","Unknown",-0.000,0.020,0.020,0.019,0.005,0.002,0.023,0.046,""
"b27","Unknown",0.008,0.092,0.092,0.091,0.038,0.029,0.049,0.118,""
"a27","Unknown",0.008,0.064,0.063,0.062,0.028,0.018,0.046,0.130,""
"b28","Unknown",0.008,0.038,0.038,0.038,0.017,0.015,0.033,0.050,""
"b28_2","Unknown",-0.004,0.026,0.026,0.025,0.005,0.002,0.018,0.033,""
"a28","Unknown",-0.003,0.015,0.015,0.014,0.001,-0.002,0.017,0.037,""
"b29","Unknown",-0.001,0.008,0.008,0.008,0.002,0.000,0.004,0.017,""
"a29","Unknown",-0.001,0.006,0.006,0.006,0.001,-0.000,0.003,0.014,""
"b30","Unknown",-0.001,0.028,0.028,0.028,0.008,0.005,0.019,0.037,""
"a30","Unknown",-0.000,0.018,0.018,0.017,0.005,0.001,0.018,0.042,""
"b31","Unknown",-0.002,0.104,0.104,0.102,0.036,0.021,0.049,0.125,""
"a31","Unknown",-0.001,0.066,0.066,0.064,0.023,0.008,0.045,0.140,""
"b32","Unknown",-0.001,0.199,0.197,0.193,0.055,0.040,0.125,0.253,""
"a32","Unknown",-0.001,0.122,0.120,0.116,0.032,0.016,0.122,0.281,""
"b33","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,""
"a33","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.002,""
"b34","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,""
"a34","Unknown",-0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,""
"b35","Unknown",-0.001,0.091,0.091,0.090,0.028,0.019,0.035,0.098,""
"a35","Unknown",-0.001,0.055,0.055,0.053,0.016,0.007,0.033,0.115,""
"b36","Unknown",-0.001,0.243,0.244,0.242,0.100,0.054,0.084,0.289,""
"a36","Unknown",-0.001,0.163,0.162,0.159,0.070,0.028,0.079,0.321,""
"b37","Unknown",-0.001,-0.000,-0.000,-0.000,-0.001,-0.001,-0.002,-0.002,""
"a37","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,""
"b38","Unknown",-0.003,0.063,0.063,0.062,0.020,0.013,0.031,0.074,""
"a38","Unknown",-0.003,0.037,0.036,0.036,0.011,0.003,0.027,0.085,""
"b39","Unknown",-0.003,0.069,0.068,0.067,0.019,0.013,0.028,0.080,""
"a39","Unknown",-0.002,0.040,0.040,0.039,0.010,0.003,0.026,0.093,""
"b40","Unknown",-0.003,0.096,0.096,0.094,0.027,0.019,0.072,0.118,""
"a40","Unknown",-0.002,0.058,0.057,0.056,0.015,0.006,0.066,0.133,""
"b41","Unknown",-0.002,0.062,0.063,0.062,0.020,0.013,0.017,0.067,""
"a41","Unknown",-0.001,0.037,0.037,0.036,0.011,0.005,0.017,0.078,""
"b42","Unknown",-0.001,0.018,0.018,0.017,0.004,0.002,0.014,0.024,""
"a42","Unknown",0.001,0.013,0.012,0.012,0.004,0.002,0.014,0.029,""
"b43","Unknown",-0.003,0.001,0.001,0.001,-0.002,-0.003,-0.002,0.002,""
"a43","Unknown",-0.002,-0.000,-0.000,-0.000,-0.002,-0.003,-0.003,0.002,""
"b44","Unknown",-0.003,0.003,0.003,0.003,-0.001,-0.002,-0.000,0.007,""
"a44","Unknown",-0.002,0.001,0.001,0.001,-0.001,-0.002,-0.001,0.006,""
"b45","Unknown",-0.003,-0.001,-0.001,-0.000,-0.003,-0.003,-0.003,-0.001,""
"a45","Unknown",-0.002,-0.001,-0.001,-0.001,-0.003,-0.003,-0.003,-0.001,""
"b46","Unknown",-0.003,0.021,0.021,0.021,0.004,0.002,0.013,0.031,""
"a46","Unknown",-0.002,0.012,0.012,0.011,0.001,-0.001,0.012,0.034,""
"b47","Unknown",-0.003,0.074,0.074,0.072,0.019,0.014,0.040,0.084,""
"a47","Unknown",-0.002,0.044,0.043,0.042,0.009,0.003,0.037,0.097,""
"b48","Unknown",-0.002,0.105,0.105,0.104,0.043,0.023,0.041,0.114,""
"a48","Unknown",-0.002,0.064,0.064,0.063,0.025,0.008,0.035,0.129,""
"b49","Unknown",-0.003,0.019,0.019,0.019,0.004,0.002,0.012,0.026,""
"a49","Unknown",-0.002,0.011,0.011,0.010,0.001,-0.001,0.010,0.028,""
"b50","Unknown",-0.003,0.055,0.055,0.054,0.017,0.010,0.031,0.068,""
"a50","Unknown",-0.001,0.033,0.033,0.032,0.009,0.003,0.028,0.077,""
"b51","Unknown",-0.003,0.061,0.061,0.061,0.023,0.013,0.025,0.068,""
"a51","Unknown",-0.002,0.037,0.037,0.036,0.014,0.004,0.021,0.078,""
"b52","Unknown",-0.003,0.035,0.035,0.035,0.009,0.005,0.025,0.047,""
"a52","Unknown",-0.002,0.021,0.021,0.020,0.004,0.000,0.022,0.051,""
"b53","Unknown",-0.002,0.003,0.003,0.003,-0.001,-0.002,-0.000,0.005,""
"a53","Unknown",-0.002,0.001,0.001,0.001,-0.002,-0.002,-0.001,0.005,""
"b54","Unknown",-0.002,0.041,0.041,0.040,0.011,0.007,0.025,0.058,""
"a54","Unknown",-0.001,0.025,0.025,0.024,0.006,0.002,0.023,0.062,""
"b55","Unknown",-0.002,0.150,0.150,0.149,0.058,0.033,0.055,0.143,""
"a55","Unknown",-0.002,0.087,0.087,0.085,0.033,0.012,0.050,0.171,""
"b56","Unknown",-0.002,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.001,""
"a56","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.001,""
"b57","Unknown",-0.003,-0.001,-0.001,-0.001,-0.003,-0.003,-0.003,-0.002,""
"a57","Unknown",-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.002,""
"b58","Unknown",-0.000,0.024,0.024,0.024,0.007,0.005,0.015,0.038,""
"a58","Unknown",-0.000,0.016,0.016,0.016,0.005,0.002,0.014,0.039,""
"b59","Unknown",-0.002,0.084,0.084,0.082,0.023,0.016,0.043,0.092,""
"a59","Unknown",-0.001,0.050,0.050,0.048,0.012,0.005,0.039,0.107,""
"b60","Unknown",-0.001,-0.001,-0.001,-0.001,-0.002,-0.002,-0.001,0.001,""
"a60","Unknown",-0.001,-0.002,-0.001,-0.001,-0.002,-0.002,-0.001,0.001,""
"b61","Unknown",-0.002,0.017,0.017,0.016,0.003,0.001,0.011,0.023,""
"a61","Unknown",-0.002,0.009,0.009,0.009,0.001,-0.001,0.010,0.025,""
"b62","Unknown",-0.001,0.006,0.006,0.006,0.001,0.000,0.004,0.013,""
"a62","Unknown",-0.001,0.003,0.003,0.003,0.000,-0.001,0.003,0.012,""
"b63","Unknown",-0.002,0.024,0.024,0.023,0.005,0.004,0.017,0.033,""
"a63","Unknown",-0.001,0.014,0.014,0.013,0.002,-0.000,0.015,0.036,""
"b64","Unknown",-0.000,0.005,0.005,0.005,0.002,0.001,0.005,0.015,""
"a64","Unknown",0.000,0.003,0.003,0.003,0.001,0.000,0.004,0.014,""
