"Sample ID","Type","WL750.0","WL664.0","WL665.0","Comments"
"blank","Unknown",0.000,0.000,0.000,""
"blank_a","Unknown",0.001,0.000,0.000,""
"18_b","Unknown",0.003,0.004,0.004,""
"18_a","Unknown",0.005,0.005,0.005,""
"16_b","Unknown",0.000,0.023,0.023,""
"16_a","Unknown",0.001,0.014,0.015,""
"1_b","Unknown",0.001,0.055,0.055,""
"1_a","Unknown",0.001,0.035,0.036,""
"2_b","Unknown",0.000,0.152,0.154,""
"2_a","Unknown",0.001,0.087,0.089,""
"3_b","Unknown",0.001,0.101,0.102,""
"3_a","Unknown",0.002,0.063,0.064,""
"17_b","Unknown",0.000,0.065,0.065,""
"17_a","Unknown",0.001,0.040,0.041,""
"8_b","Unknown",0.001,1.007,1.010,""
"8_a","Unknown",0.001,0.581,0.588,""
"6_b","Unknown",0.001,0.202,0.204,""
"6_a","Unknown",0.002,0.120,0.122,""
"4_b","Unknown",0.000,0.050,0.050,""
"4_a","Unknown",0.001,0.032,0.032,""
"14_b","Unknown",0.001,0.184,0.186,""
"14_a","Unknown",0.002,0.111,0.113,""
"15_b","Unknown",0.000,0.096,0.097,""
"15_a","Unknown",0.001,0.056,0.057,""
"5_b","Unknown",0.000,0.101,0.102,""
"5_a","Unknown",0.001,0.059,0.060,""
"12_b","Unknown",0.000,0.016,0.016,""
"12_a","Unknown",0.001,0.010,0.010,""
"20_b","Unknown",0.001,0.104,0.105,""
"20_a","Unknown",0.002,0.061,0.062,""
"9_b","Unknown",0.001,0.022,0.022,""
"9_a","Unknown",0.001,0.014,0.014,""
"7_b","Unknown",0.002,0.029,0.029,""
"7_a","Unknown",0.004,0.020,0.020,""
"10_b","Unknown",0.003,0.059,0.059,""
"10_a","Unknown",0.004,0.037,0.037,""
"24_b","Unknown",0.005,0.023,0.024,""
"24_a","Unknown",0.006,0.016,0.016,""
"19_b","Unknown",0.000,0.076,0.077,""
"19_a","Unknown",0.002,0.045,0.045,""
"23_b","Unknown",0.006,0.065,0.065,""
"23_a","Unknown",0.007,0.043,0.043,""
"22_b","Unknown",-0.000,0.018,0.018,""
"22_a","Unknown",0.004,0.015,0.015,""
"31_b","Unknown",0.001,0.101,0.101,""
"31_a","Unknown",0.002,0.058,0.059,""
"11_b","Unknown",0.001,0.003,0.003,""
"11_a","Unknown",0.001,0.002,0.002,""
"26_b","Unknown",0.002,0.020,0.020,""
"26_a","Unknown",0.004,0.014,0.014,""
"30_b","Unknown",0.003,0.024,0.024,""
"30_a","Unknown",0.002,0.014,0.014,""
"25_b","Unknown",0.004,0.157,0.158,""
"25_a","Unknown",0.003,0.089,0.090,""
"27_b","Unknown",0.003,0.137,0.138,""
"27_a","Unknown",0.004,0.079,0.081,""
"29_b","Unknown",0.003,0.024,0.024,""
"29_a","Unknown",0.002,0.015,0.015,""
"32_b","Unknown",0.003,0.063,0.064,""
"32_a","Unknown",0.004,0.040,0.041,""
"21_b","Unknown",0.002,0.225,0.227,""
"21_a","Unknown",0.003,0.130,0.132,""
"33_b","Unknown",0.001,0.178,0.179,""
"33_a","Unknown",0.002,0.103,0.106,""
"34_b","Unknown",0.003,0.023,0.023,""
"34_a","Unknown",0.002,0.015,0.015,""
"35_b","Unknown",0.004,0.026,0.026,""
"35_a","Unknown",0.004,0.017,0.018,""
"36_b","Unknown",0.003,0.021,0.021,""
"36_a","Unknown",0.003,0.014,0.014,""
"37_b","Unknown",0.003,0.016,0.016,""
"37_a","Unknown",0.004,0.011,0.011,""
"38_b","Unknown",0.003,0.158,0.159,""
"38_a","Unknown",0.004,0.090,0.092,""
"39_b","Unknown",0.002,0.003,0.003,""
"39_a","Unknown",0.003,0.004,0.004,""
