"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"fake_start","Unknown",-0.000,-0.004,-0.005,-0.004,0.001,-0.003,-0.003,-0.002,""
"ethol_blank","Unknown",-0.000,-0.000,-0.000,0.000,0.000,0.000,0.000,0.000,""
"56_b","Unknown",-0.000,-0.000,-0.000,-0.000,-0.000,0.000,0.000,0.000,""
"56_a","Unknown",0.000,-0.000,-0.000,-0.000,-0.000,0.000,-0.000,-0.000,""
"52_b","Unknown",0.002,0.013,0.013,0.013,0.006,0.005,0.008,0.019,""
"52_a","Unknown",0.001,0.008,0.008,0.008,0.004,0.003,0.007,0.020,""
"46_b","Unknown",0.010,0.025,0.025,0.025,0.016,0.016,0.028,0.044,""
"46_a","Unknown",0.010,0.019,0.019,0.019,0.013,0.013,0.025,0.044,""
"54_b","Unknown",0.001,0.007,0.007,0.007,0.003,0.002,0.006,0.010,""
"54_a","Unknown",0.001,0.005,0.005,0.005,0.002,0.001,0.005,0.011,""
"6_b","Unknown",0.054,0.368,0.366,0.359,0.141,0.125,0.497,0.411,""
"6_a","Unknown",0.048,0.229,0.226,0.220,0.094,0.076,0.456,0.459,""
"1_b","Unknown",0.002,0.111,0.110,0.108,0.035,0.028,0.098,0.144,""
"1_a","Unknown",0.002,0.070,0.068,0.066,0.021,0.012,0.086,0.165,""
"49_b","Unknown",0.004,0.136,0.136,0.135,0.056,0.041,0.146,0.232,""
"49_a","Unknown",0.004,0.091,0.091,0.089,0.037,0.021,0.124,0.253,""
"53_b","Unknown",0.003,0.170,0.169,0.166,0.052,0.042,0.176,0.218,""
"53_a","Unknown",0.003,0.101,0.099,0.097,0.030,0.017,0.168,0.246,""
"51_b","Unknown",0.002,0.328,0.326,0.321,0.101,0.072,0.384,0.407,""
"51_a","Unknown",0.002,0.204,0.202,0.197,0.061,0.031,0.363,0.457,""
"55_b","Unknown",-0.001,0.003,0.003,0.003,0.001,0.000,0.003,0.004,""
"55_a","Unknown",0.000,0.003,0.003,0.003,0.001,0.000,0.005,0.006,""
"50_b","Unknown",0.003,0.028,0.028,0.028,0.013,0.010,0.015,0.043,""
"50_a","Unknown",0.002,0.018,0.018,0.018,0.009,0.005,0.013,0.044,""
"47_b","Unknown",0.002,0.115,0.115,0.113,0.045,0.030,0.059,0.140,""
"47_a","Unknown",0.003,0.073,0.072,0.071,0.028,0.014,0.053,0.155,""
"45_b","Unknown",0.004,0.231,0.230,0.227,0.082,0.054,0.207,0.291,""
"45_a","Unknown",0.004,0.148,0.146,0.143,0.054,0.027,0.196,0.324,""
"44_b","Unknown",0.002,0.017,0.017,0.017,0.007,0.006,0.012,0.031,""
"44_a","Unknown",0.002,0.013,0.013,0.013,0.006,0.004,0.012,0.034,""
"2_b","Unknown",0.002,0.071,0.070,0.069,0.023,0.019,0.082,0.091,""
"2_a","Unknown",0.002,0.043,0.043,0.041,0.014,0.008,0.076,0.103,""
"4_b","Unknown",0.002,0.058,0.058,0.057,0.022,0.018,0.039,0.091,""
"4_a","Unknown",0.002,0.037,0.037,0.036,0.014,0.008,0.036,0.098,""
"8_b","Unknown",0.002,0.027,0.027,0.026,0.010,0.008,0.028,0.041,""
"8_a","Unknown",0.001,0.017,0.017,0.017,0.006,0.004,0.026,0.044,""
"7_b","Unknown",0.008,0.229,0.227,0.222,0.066,0.053,0.388,0.267,""
"42_b","Unknown",0.002,0.029,0.029,0.028,0.011,0.009,0.025,0.045,""
"42_a","Unknown",0.002,0.019,0.018,0.018,0.007,0.004,0.022,0.047,""
"41_b","Unknown",0.004,0.096,0.096,0.094,0.032,0.027,0.085,0.128,""
"41_a","Unknown",0.004,0.059,0.058,0.057,0.020,0.013,0.082,0.142,""
"7_b_2","Unknown",0.002,0.235,0.233,0.228,0.063,0.049,0.403,0.274,""
"7_a_2","Unknown",0.002,0.137,0.134,0.129,0.034,0.019,0.378,0.314,""
"31_b","Unknown",-0.011,0.020,0.020,0.019,0.005,-0.004,-0.002,-0.119,""
"31_b_2","Unknown",0.002,0.031,0.031,0.030,0.012,0.010,0.024,0.057,""
"31_a_2","Unknown",0.003,0.022,0.021,0.021,0.009,0.006,0.023,0.061,""
"3_b","Unknown",0.004,0.109,0.108,0.106,0.036,0.030,0.117,0.134,""
"3_a","Unknown",0.006,0.068,0.066,0.065,0.023,0.014,0.107,0.153,""
"21_b","Unknown",0.016,0.068,0.068,0.067,0.034,0.032,0.071,0.092,""
"21_b_2","Unknown",0.016,0.067,0.067,0.066,0.033,0.031,0.070,0.092,""
"BRNref_b","Unknown",0.000,0.067,0.066,0.065,0.025,0.014,0.029,0.102,""
"BRNref_a","Unknown",0.002,0.050,0.050,0.049,0.020,0.010,0.028,0.104,""
"11_b","Unknown",0.002,0.079,0.079,0.077,0.027,0.020,0.071,0.100,""
"11_a","Unknown",0.002,0.050,0.049,0.047,0.017,0.009,0.066,0.111,""
"20_b","Unknown",0.008,0.108,0.107,0.105,0.039,0.033,0.099,0.147,""
"20_a","Unknown",0.008,0.068,0.067,0.065,0.026,0.018,0.095,0.162,""
"23_b","Unknown",0.002,0.025,0.024,0.024,0.009,0.008,0.024,0.041,""
"23_a","Unknown",0.002,0.016,0.016,0.016,0.006,0.004,0.022,0.044,""
"12_b","Unknown",0.005,0.118,0.117,0.115,0.040,0.037,0.158,0.181,""
"12_a","Unknown",0.005,0.075,0.074,0.072,0.024,0.016,0.135,0.200,""
"58_etoh_b","Unknown",0.001,0.002,0.002,0.002,0.001,0.001,0.003,0.003,""
"58_etoh_a","Unknown",0.001,0.002,0.001,0.001,0.001,0.000,0.002,0.003,""
