"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"etoh_machine_blank","Unknown",0.000,0.000,0.000,0.000,0.000,0.000,-0.000,-0.000,""
"before_1","Unknown",-0.002,0.105,0.104,0.101,0.029,0.022,0.083,0.136,""
"after_1","Unknown",-0.002,0.064,0.063,0.061,0.015,0.006,0.068,0.150,""
"before_2","Unknown",0.003,0.191,0.190,0.186,0.054,0.041,0.241,0.206,""
"after_2","Unknown",0.004,0.114,0.112,0.108,0.031,0.017,0.206,0.241,""
"before_3","Unknown",-0.003,-0.004,-0.004,-0.004,-0.004,-0.004,-0.007,-0.008,""
"after_3","Unknown",-0.003,-0.005,-0.005,-0.005,-0.005,-0.005,-0.008,-0.009,""
"before_4","Unknown",-0.002,0.064,0.064,0.063,0.019,0.013,0.038,0.077,""
"after_4","Unknown",-0.002,0.039,0.038,0.037,0.010,0.004,0.030,0.086,""
"before_5","Unknown",0.002,0.181,0.181,0.177,0.057,0.046,0.240,0.206,""
"after_5","Unknown",0.003,0.110,0.108,0.105,0.034,0.023,0.202,0.240,""
"before_6","Unknown",-0.004,-0.004,-0.004,-0.004,-0.004,-0.005,-0.007,-0.008,""
"after_6","Unknown",-0.003,-0.004,-0.004,-0.004,-0.005,-0.005,-0.008,-0.009,""
"before_7","Unknown",-0.003,0.073,0.073,0.071,0.018,0.012,0.046,0.085,""
"after_7","Unknown",-0.003,0.044,0.043,0.042,0.009,0.002,0.037,0.096,""
"before_8","Unknown",-0.003,0.107,0.106,0.103,0.028,0.020,0.074,0.131,""
"after_8","Unknown",-0.003,0.066,0.065,0.063,0.015,0.005,0.062,0.149,""
"before_9","Unknown",-0.003,0.177,0.176,0.173,0.046,0.032,0.223,0.195,""
"after_9","Unknown",-0.003,0.103,0.102,0.098,0.023,0.009,0.188,0.229,""
"before_10","Unknown",-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.007,-0.009,""
"after_10","Unknown",-0.003,-0.004,-0.004,-0.004,-0.005,-0.005,-0.007,-0.009,""
"before_11","Unknown",-0.003,0.162,0.162,0.158,0.041,0.029,0.201,0.172,""
"after_11","Unknown",-0.003,0.094,0.093,0.089,0.020,0.008,0.174,0.202,""
"before_12","Unknown",-0.003,0.060,0.060,0.058,0.016,0.011,0.036,0.069,""
"after_12","Unknown",-0.002,0.036,0.035,0.034,0.008,0.002,0.030,0.079,""
"before_13","Unknown",-0.002,0.256,0.254,0.248,0.067,0.049,0.299,0.285,""
"after_13","Unknown",-0.002,0.150,0.147,0.142,0.035,0.016,0.269,0.328,""
"before_14","Unknown",-0.003,0.187,0.186,0.182,0.048,0.034,0.227,0.201,""
"after_14","Unknown",-0.003,0.109,0.107,0.103,0.024,0.010,0.197,0.235,""
"before_15","Unknown",-0.003,0.111,0.110,0.108,0.030,0.022,0.079,0.136,""
"after_15","Unknown",-0.002,0.068,0.067,0.065,0.016,0.007,0.066,0.154,""
"before_16","Unknown",-0.003,0.087,0.086,0.084,0.023,0.017,0.067,0.109,""
"after_16","Unknown",-0.003,0.052,0.052,0.050,0.012,0.004,0.055,0.123,""
"before_17","Unknown",-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.008,-0.010,""
"after_17","Unknown",-0.003,-0.005,-0.004,-0.005,-0.005,-0.005,-0.008,-0.010,""
"before_18","Unknown",-0.003,0.063,0.063,0.061,0.016,0.011,0.039,0.078,""
"after_18","Unknown",-0.003,0.038,0.038,0.036,0.008,0.002,0.032,0.087,""
"before_19","Unknown",-0.003,0.185,0.184,0.180,0.048,0.034,0.222,0.198,""
"after_19","Unknown",-0.002,0.108,0.106,0.102,0.024,0.010,0.192,0.232,""
"before_20","Unknown",-0.003,0.194,0.192,0.188,0.050,0.036,0.182,0.225,""
"after_20","Unknown",-0.003,0.114,0.111,0.108,0.026,0.011,0.165,0.257,""
"before_21","Unknown",-0.003,0.088,0.087,0.085,0.024,0.017,0.055,0.109,""
"after_21","Unknown",-0.002,0.054,0.053,0.051,0.013,0.004,0.046,0.122,""
"before_22","Unknown",-0.004,0.065,0.065,0.063,0.017,0.011,0.035,0.077,""
"after_22","Unknown",-0.004,0.039,0.038,0.037,0.008,0.001,0.028,0.086,""
"before_chlorella","Unknown",-0.004,0.012,0.012,0.012,0.001,-0.003,-0.002,0.012,""
"after_chlorella","Unknown",-0.004,0.007,0.007,0.006,-0.001,-0.004,-0.004,0.013,""
