"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"before_1","Unknown",0.003,0.045,0.044,0.043,0.018,0.013,0.040,0.098,""
"after_1","Unknown",0.003,0.036,0.035,0.034,0.015,0.010,0.035,0.093,""
"before_2","Unknown",-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000,0.002,""
"after_2","Unknown",-0.001,-0.002,-0.001,-0.002,-0.002,-0.002,-0.001,0.000,""
"EtOH_blank","Unknown",-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,""
"before_3","Unknown",0.002,0.074,0.074,0.072,0.027,0.018,0.046,0.104,""
"after_3","Unknown",0.002,0.049,0.049,0.048,0.019,0.011,0.041,0.109,""
"before_4","Unknown",0.001,0.009,0.009,0.009,0.004,0.003,0.010,0.024,""
"after_4","Unknown",0.001,0.006,0.006,0.006,0.003,0.002,0.007,0.021,""
"before_5","Unknown",0.001,0.303,0.302,0.297,0.095,0.074,0.197,0.369,""
"after_5","Unknown",0.001,0.184,0.181,0.176,0.055,0.029,0.183,0.423,""
"before_6","Unknown",0.000,0.191,0.191,0.188,0.061,0.045,0.112,0.233,""
"after_6","Unknown",0.001,0.117,0.115,0.112,0.036,0.019,0.103,0.261,""
"before_7","Unknown",-0.003,0.010,0.010,0.009,0.002,0.001,0.007,0.040,""
"after_7","Unknown",-0.001,0.007,0.007,0.007,0.003,0.002,0.010,0.039,""
"before_8","Unknown",0.005,0.209,0.209,0.205,0.073,0.051,0.106,0.246,""
"after_8","Unknown",0.000,0.126,0.124,0.121,0.041,0.019,0.094,0.271,""
"before_9","Unknown",0.016,0.102,0.102,0.101,0.049,0.036,0.063,0.124,""
"before_9_2","Unknown",0.006,0.093,0.093,0.092,0.040,0.027,0.054,0.115,""
"after_9","Unknown",0.005,0.059,0.059,0.058,0.027,0.016,0.047,0.125,""
"before_10","Unknown",-0.002,-0.001,-0.002,-0.002,-0.002,-0.002,-0.001,0.000,""
"after_10","Unknown",-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.002,-0.001,""
