"Sample ID","Type","WL750.0","WL664.0","WL665.0","Comments"
"1b","Unknown",0.002,0.006,0.006,""
"1a","Unknown",0.002,0.004,0.004,""
"2bb","Unknown",0.001,0.006,0.006,""
"2aa","Unknown",0.002,0.004,0.004,""
"3bb","Unknown",0.001,0.006,0.006,""
"3aa","Unknown",0.002,0.004,0.004,""
"4bb","Unknown",0.001,0.006,0.006,""
"4aa","Unknown",0.002,0.004,0.004,""
"5bb","Unknown",0.001,0.006,0.006,""
"5a","Unknown",0.001,0.005,0.005,""
"blank1b","Unknown",0.002,0.002,0.002,""
"blank1a","Unknown",0.002,0.002,0.002,""
"6b","Unknown",0.001,0.006,0.006,""
"6a","Unknown",0.002,0.004,0.004,""
"7b","Unknown",0.001,0.005,0.005,""
"7a","Unknown",0.001,0.004,0.004,""
"8b","Unknown",0.001,0.005,0.005,""
"8a","Unknown",0.001,0.004,0.004,""
"9b","Unknown",0.001,0.004,0.004,""
"9a","Unknown",0.001,0.004,0.004,""
"10b","Unknown",0.002,0.007,0.007,""
"10a","Unknown",0.002,0.006,0.006,""
"11b","Unknown",0.001,0.004,0.004,""
"11a","Unknown",0.002,0.004,0.004,""
"12b","Unknown",0.002,0.006,0.006,""
"12a","Unknown",0.002,0.004,0.004,""
"13b","Unknown",0.002,0.090,0.090,""
"13a","Unknown",0.002,0.057,0.059,""
"14b","Unknown",0.002,0.063,0.063,""
"14a","Unknown",0.002,0.043,0.043,""
"15b","Unknown",0.003,0.537,0.537,""
"15a","Unknown",0.003,0.324,0.330,""
"16b","Unknown",0.002,0.165,0.166,""
"16a","Unknown",0.002,0.103,0.105,""
"17b","Unknown",-0.003,0.075,0.075,""
"17a","Unknown",0.002,0.052,0.053,""
"18b","Unknown",0.002,0.161,0.162,""
"18a","Unknown",0.002,0.100,0.102,""
"19b","Unknown",0.002,0.034,0.034,""
"19a","Unknown",0.003,0.025,0.025,""
"20b","Unknown",0.002,0.078,0.078,""
"20a","Unknown",0.002,0.047,0.048,""
"blank2b","Unknown",0.001,0.001,0.001,""
"blank2a","Unknown",0.001,0.000,0.000,""
"21b","Unknown",0.003,0.061,0.062,""
"21a","Unknown",0.003,0.038,0.039,""
"22b","Unknown",0.002,0.100,0.100,""
"22a","Unknown",0.003,0.064,0.066,""
"23b","Unknown",0.002,0.032,0.032,""
"23a","Unknown",0.002,0.023,0.023,""
"24b","Unknown",0.002,0.163,0.164,""
"24a","Unknown",0.003,0.101,0.103,""
"25b","Unknown",0.002,0.090,0.090,""
"25a","Unknown",0.002,0.056,0.057,""
"26b","Unknown",0.001,0.079,0.080,""
"26a","Unknown",0.001,0.046,0.047,""
"27b","Unknown",0.003,0.116,0.117,""
"27a","Unknown",0.003,0.077,0.078,""
"28b","Unknown",0.002,0.158,0.159,""
"28a","Unknown",0.002,0.096,0.097,""
"29b","Unknown",0.002,0.146,0.146,""
"29a","Unknown",0.002,0.087,0.089,""
"30b","Unknown",0.002,0.027,0.027,""
"30a","Unknown",0.002,0.019,0.020,""
"31b","Unknown",0.004,0.164,0.165,""
"31a","Unknown",-0.030,-0.032,-0.032,""
"32b","Unknown",0.004,0.093,0.093,""
"32a","Unknown",0.004,0.060,0.061,""
"33b","Unknown",0.002,0.180,0.181,""
"33a","Unknown",0.002,0.110,0.112,""
"34b","Unknown",0.001,0.019,0.019,""
"34a","Unknown",0.002,0.012,0.013,""
"35b","Unknown",0.002,0.060,0.061,""
"35a","Unknown",0.002,0.044,0.045,""
"36b","Unknown",0.003,0.057,0.058,""
"36a","Unknown",0.003,0.037,0.038,""
"37b","Unknown",0.002,0.067,0.067,""
"37a","Unknown",0.002,0.041,0.042,""
"30bb","Unknown",0.003,0.095,0.096,""
"30aa","Unknown",0.003,0.065,0.066,""
"blank3b","Unknown",0.001,0.001,0.001,""
"blank3a","Unknown",0.002,0.001,0.001,""
