"Sample ID","Type","WL750.0","WL665.0","WL664.0","WL663.0","WL647.0","WL630.0","WL490.0","WL384.0","Comments"
"blank","Unknown",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"1_b","Unknown",0.004,0.100,0.101,0.100,0.040,0.028,0.056,0.128,""
"1_a","Unknown",0.004,0.064,0.064,0.063,0.024,0.013,0.049,0.144,""
"2_b","Unknown",-0.000,0.391,0.389,0.381,0.116,0.088,0.205,0.439,""
"2_a","Unknown",0.001,0.236,0.232,0.225,0.068,0.035,0.191,0.515,""
"2_a_2","Unknown",0.002,0.237,0.232,0.225,0.066,0.034,0.191,0.520,""
"3_b","Unknown",-0.006,-0.006,-0.006,-0.006,-0.007,-0.007,-0.008,-0.009,""
"3_a","Unknown",-0.005,-0.004,-0.004,-0.004,-0.006,-0.007,-0.007,-0.005,""
"4_b","Unknown",-0.002,0.155,0.154,0.152,0.043,0.030,0.067,0.154,""
"4_a","Unknown",-0.003,0.090,0.089,0.086,0.022,0.008,0.061,0.181,""
"5_b","Unknown",-0.003,0.393,0.392,0.386,0.122,0.081,0.130,0.404,""
"5_a","Unknown",-0.003,0.235,0.231,0.225,0.067,0.030,0.125,0.486,""
"6_b","Unknown",0.007,0.182,0.182,0.180,0.062,0.046,0.080,0.189,""
"7_b","Unknown",-0.003,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.001,""
"7_a","Unknown",-0.003,-0.001,-0.001,-0.001,-0.003,-0.003,-0.003,0.001,""
"8_b","Unknown",-0.003,0.091,0.091,0.091,0.029,0.017,0.038,0.100,""
"8_a","Unknown",-0.003,0.055,0.054,0.053,0.014,0.004,0.035,0.117,""
"10_b","Unknown",-0.001,0.279,0.277,0.271,0.072,0.055,0.159,0.267,""
"10_a","Unknown",-0.001,0.162,0.159,0.153,0.037,0.018,0.122,0.324,""
"11_b","Unknown",0.005,0.167,0.167,0.164,0.053,0.040,0.078,0.172,""
"11_a","Unknown",0.006,0.103,0.101,0.098,0.032,0.019,0.073,0.202,""
"6_b_2","Unknown",-0.002,0.172,0.171,0.169,0.050,0.035,0.066,0.176,""
"6_a","Unknown",-0.001,0.103,0.101,0.098,0.027,0.012,0.058,0.210,""
"12_b","Unknown",-0.004,-0.005,-0.005,-0.005,-0.005,-0.005,-0.006,-0.006,""
"12_a","Unknown",-0.004,-0.004,-0.004,-0.004,-0.005,-0.006,-0.007,-0.005,""
"9_b","Unknown",-0.003,0.181,0.180,0.177,0.052,0.035,0.070,0.182,""
"9_a","Unknown",-0.002,0.108,0.106,0.103,0.027,0.011,0.062,0.216,""
"14_b","Unknown",-0.001,0.303,0.302,0.297,0.097,0.065,0.129,0.344,""
"14_a","Unknown",-0.000,0.187,0.184,0.179,0.057,0.026,0.121,0.399,""
"15_a","Unknown",-0.002,0.379,0.376,0.368,0.113,0.081,0.239,0.454,""
"15_a_2","Unknown",-0.000,0.233,0.229,0.223,0.068,0.033,0.215,0.526,""
"16_b","Unknown",-0.003,0.148,0.147,0.144,0.042,0.029,0.134,0.192,""
"16_a","Unknown",-0.003,0.091,0.089,0.087,0.023,0.010,0.125,0.213,""
"17_b","Unknown",-0.002,-0.003,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003,""
"17_a","Unknown",-0.002,-0.003,-0.003,-0.003,-0.003,-0.003,-0.003,-0.002,""
"13_b","Unknown",0.003,0.171,0.171,0.169,0.064,0.042,0.091,0.221,""
"13_a","Unknown",0.003,0.110,0.109,0.107,0.040,0.021,0.085,0.240,""
"18_b","Unknown",-0.004,0.068,0.068,0.066,0.019,0.014,0.059,0.100,""
"18_a","Unknown",-0.003,0.042,0.041,0.040,0.010,0.003,0.051,0.111,""
"19_b","Unknown",-0.043,-0.040,-0.040,-0.040,-0.040,-0.041,-0.045,-0.079,""
"19_b_2","Unknown",0.000,0.163,0.163,0.161,0.058,0.036,0.084,0.201,""
"19_a","Unknown",0.001,0.105,0.104,0.101,0.036,0.017,0.078,0.222,""
"20_b","Unknown",-0.003,0.096,0.097,0.096,0.033,0.020,0.047,0.117,""
"20_a","Unknown",0.002,0.063,0.063,0.062,0.021,0.010,0.045,0.139,""
"21_b","Unknown",-0.001,0.103,0.104,0.104,0.037,0.023,0.047,0.124,""
"21_a","Unknown",-0.000,0.064,0.064,0.063,0.020,0.008,0.040,0.142,""
"22_a","Unknown",-0.001,0.212,0.212,0.210,0.077,0.047,0.084,0.246,""
"22_a_2","Unknown",-0.000,0.132,0.131,0.128,0.045,0.020,0.078,0.277,""
"23_b","Unknown",-0.001,-0.000,-0.000,-0.000,-0.001,-0.001,-0.000,0.001,""
"23_a","Unknown",-0.001,-0.000,-0.000,-0.000,-0.001,-0.001,-0.001,0.002,""
"24_b","Unknown",-0.002,0.694,0.689,0.676,0.199,0.145,0.318,0.700,""
"24_a","Unknown",0.000,0.411,0.403,0.391,0.110,0.054,0.300,0.848,""
"25_b","Unknown",-0.003,0.172,0.172,0.169,0.049,0.033,0.064,0.173,""
"25_a","Unknown",-0.002,0.106,0.104,0.101,0.027,0.011,0.059,0.215,""
"26_b","Unknown",-0.001,0.337,0.336,0.330,0.109,0.074,0.143,0.386,""
"26_a","Unknown",-0.001,0.208,0.205,0.200,0.063,0.029,0.133,0.448,""
