Reservoir,Site,DateTime,Secchi_m,Flag_DateTime,Flag_Secchi_m
BVR,50,2013-08-30 12:00:00,2.3,1,0
BVR,50,2013-10-16 12:00:00,4.4,1,0
BVR,50,2014-04-30 12:00:00,2.88,1,2
BVR,50,2014-05-14 12:00:00,3.5,1,0
BVR,50,2014-05-29 12:00:00,3.5,1,0
BVR,50,2014-06-04 12:00:00,4.4,1,0
BVR,50,2014-06-18 12:00:00,4.2,1,0
BVR,50,2014-06-25 12:00:00,4.7,1,0
BVR,50,2014-07-02 12:00:00,3,1,0
BVR,50,2014-07-09 12:00:00,2.5,1,0
BVR,50,2014-07-23 12:00:00,2.35,1,2
BVR,50,2014-07-30 12:00:00,2.5,1,0
BVR,50,2014-08-13 12:00:00,2.6,1,0
BVR,50,2014-09-04 12:00:00,3.8,1,0
BVR,50,2014-09-25 12:00:00,3.3,1,0
BVR,50,2015-05-28 12:00:00,3.9,1,0
BVR,50,2015-06-04 12:00:00,3.4,1,0
BVR,50,2015-06-11 12:00:00,3.3,1,0
BVR,50,2015-06-18 12:00:00,3.2,1,0
BVR,50,2015-06-25 12:00:00,2.6,1,0
BVR,50,2015-07-02 12:00:00,2.6,1,0
BVR,50,2015-07-09 12:00:00,2.9,1,0
BVR,50,2015-07-16 12:00:00,2.6,1,0
BVR,50,2015-07-23 12:00:00,2.7,1,0
BVR,50,2015-07-30 12:00:00,2.6,1,0
BVR,50,2015-08-13 12:00:00,2.5,1,0
BVR,50,2015-08-20 12:00:00,2.5,1,0
BVR,50,2015-10-23 12:00:00,3,1,0
BVR,50,2016-03-23 08:26:00,1.74,0,0
BVR,50,2016-04-06 10:20:00,2.21,0,0
BVR,50,2016-04-20 11:00:00,2.49,0,0
BVR,50,2016-04-23 12:00:00,1.74,1,0
BVR,50,2016-05-04 10:05:00,3.08,0,0
BVR,50,2016-05-12 09:45:00,4.04,0,0
BVR,50,2016-05-19 10:25:00,3.25,0,0
BVR,50,2016-05-26 09:57:00,3.45,0,0
BVR,50,2016-05-31 12:30:00,3.02,0,0
BVR,50,2016-06-02 10:15:00,4.2,0,0
BVR,50,2016-06-08 12:30:00,3.9,0,0
BVR,50,2016-06-16 10:40:00,3.3,0,0
BVR,50,2016-06-23 12:00:00,3.9,1,0
BVR,50,2016-06-26 12:00:00,2.79,1,0
BVR,50,2016-06-28 12:00:00,3.5,1,0
BVR,50,2016-06-30 12:00:00,3.06,1,0
BVR,50,2016-07-07 12:00:00,3.08,1,0
BVR,50,2016-07-14 12:00:00,3.1,1,0
BVR,50,2016-07-21 12:00:00,2.7,1,0
BVR,50,2016-07-24 12:00:00,2.3,1,0
BVR,50,2016-07-28 12:00:00,2.47,1,0
BVR,50,2016-08-04 12:00:00,1.79,1,0
BVR,50,2016-08-11 12:00:00,1.9,1,0
BVR,50,2016-08-18 12:00:00,2.65,1,0
BVR,50,2016-08-23 12:00:00,2.87,1,0
BVR,50,2016-09-06 12:00:00,2.13,1,0
BVR,50,2016-09-16 18:42:00,1.6,0,0
BVR,50,2016-09-17 07:13:00,1.6,0,0
BVR,50,2016-09-27 12:00:00,2.21,1,0
BVR,50,2016-10-11 12:00:00,2.3,1,0
BVR,50,2016-10-25 10:10:00,2.38,0,0
BVR,50,2017-03-17 12:00:00,2.51,1,0
BVR,50,2017-04-10 10:03:00,3.29,0,0
BVR,50,2017-05-05 12:17:00,3.15,0,0
BVR,50,2017-05-10 10:07:00,2.5,0,0
BVR,50,2017-05-18 10:50:00,3.45,0,0
BVR,50,2017-05-25 12:39:00,2.14,0,0
BVR,50,2017-05-30 11:25:00,2.05,0,0
BVR,50,2017-06-01 10:02:00,2.19,0,0
BVR,50,2017-06-08 11:55:00,2.18,0,0
