DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2024-09-23T11:06:13Z,0.155,22.4089,22.14,1.8135,0.0852,1.0575,1.7903,27.724125,29.234,8.4698,97.688,66.794,1.6054267858326003,0.027,0
2024-09-23T11:06:13Z,0.161,22.4095,22.14,1.8212,0.0852,1.0575,1.6543,27.73128,29.242,8.4745,97.681,66.998,1.6058694185395916,0.03,0
2024-09-23T11:06:13Z,0.168,22.4102,22.14,1.8174,0.0852,1.0575,1.5939,27.715436,29.225,8.4751,97.688,66.693,1.6048575344544398,0.033,0
2024-09-23T11:06:13Z,0.177,22.4111,22.14,1.8135,0.0852,1.0575,1.7601,27.686306,29.196,8.4741,97.732,65.005,1.6031421514997246,0.037,0
2024-09-23T11:06:13Z,0.187,22.4118,22.14,1.8135,0.0852,1.1421,1.7298,27.673959,29.184,8.4731,97.811,61.728,1.6024205532337739,0.041,0
2024-09-23T11:06:13Z,0.198,22.4118,22.14,1.8441,0.0852,1.1421,1.7298,27.683065,29.196,8.4725,97.901,62.824,1.6031166883929489,0.045,0
2024-09-23T11:06:13Z,0.21,22.4111,22.14,1.8708,0.0852,1.1421,1.7147,27.692159,29.208,8.4733,97.963,60.035,1.6038379526319229,0.05,0
2024-09-23T11:06:13Z,0.223,22.4095,22.14,1.8937,0.0852,1.1421,1.7449,27.699681000000002,29.218,8.4773,97.977,58.173,1.6044754948774862,0.054,0
2024-09-23T11:06:13Z,0.238,22.4073,22.23,1.8479,0.0852,1.0575,1.6996,27.711621,29.233,8.4846,97.945,55.614,1.6054248113656906,0.057,0
2024-09-23T11:06:13Z,0.253,22.4042,22.23,1.8517,0.0852,1.0575,1.5939,27.717223,29.241,8.4928,97.88,55.205,1.6060002991751885,0.06,0
2024-09-23T11:06:13Z,0.269,22.4003,22.23,1.6304,0.0852,1.0575,1.7298,27.708024,29.233,8.4988,97.783,54.667,1.6056758529529347,0.064,0
2024-09-23T11:06:13Z,0.285,22.3959,22.23,1.6381,0.0852,1.0575,1.7903,27.687546,29.214,8.5007,97.654,53.995,1.60473073223267,0.067,0
2024-09-23T11:06:13Z,0.302,22.392,22.23,1.6457,0.0426,1.0575,1.7449,27.664265,29.192,8.4986,97.509,53.041,1.6035933396923694,0.07,0
2024-09-23T11:06:13Z,0.321,22.3888,22.23,1.6381,0.0426,1.0575,1.6694,27.639941,29.17,8.4935,97.38,51.822,1.6024306812106917,0.073,0
2024-09-23T11:06:13Z,0.34,22.3859,22.23,1.6381,0.0426,1.0575,1.6241,27.612067,29.144,8.4855,97.307,49.921,1.6010249291430347,0.076,0
2024-09-23T11:06:13Z,0.361,22.3824,22.23,1.6419,0.0426,1.0575,1.6996,27.585159,29.118,8.4749,97.296,47.787,1.5996405591613114,0.079,0
2024-09-23T11:06:13Z,0.382,22.3778,22.23,1.6419,0.0426,1.0575,1.6241,27.560007,29.095,8.463,97.318,46.497,1.598469603568876,0.08,0
2024-09-23T11:06:13Z,0.403,22.3725,22.32,1.6304,0.0852,0.9306,1.6694,27.541851,29.078,8.4528,97.328,44.374,1.5976718689358578,0.08,0
2024-09-23T11:06:13Z,0.424,22.367,22.32,1.5961,0.0852,0.9306,1.9413,27.549744,29.089,8.4473,97.295,42.211,1.598507075007237,0.078,0
2024-09-23T11:06:13Z,0.444,22.3617,22.32,1.5923,0.0852,0.9306,1.8507,27.581808,29.125,8.4472,97.223,41.026,1.6007873947769176,0.076,0
2024-09-23T11:06:13Z,0.463,22.3569,22.32,1.577,0.0852,0.9306,1.9413,27.614734,29.161,8.4499,97.143,40.075,1.6030505005910578,0.074,0
2024-09-23T11:06:13Z,0.481,22.3526,22.32,1.5656,0.0426,0.9306,1.7903,27.637388,29.187,8.4515,97.08,39.719,1.6047152795751105,0.072,0
2024-09-23T11:06:13Z,0.498,22.3488,22.32,1.5732,0.0426,0.9306,1.7903,27.643864,29.196,8.4492,97.033,39.299,1.605374579993384,0.07,0
2024-09-23T11:06:13Z,0.515,22.3455,22.32,1.558,0.0426,0.9306,1.6996,27.639872,29.194,8.4435,96.991,38.823,1.6053767420591778,0.07,0
2024-09-23T11:06:13Z,0.533,22.3426,22.32,1.5694,0.0426,0.9306,1.7903,27.632311,29.188,8.437,96.961,38.154,1.6051320440257437,0.07,0
2024-09-23T11:06:13Z,0.551,22.3395,22.32,1.5236,0.0852,0.9729,1.7601,27.619166,29.176,8.4321,96.959,37.092,1.6045457866784776,0.071,0
2024-09-23T11:06:13Z,0.57,22.3361,22.32,1.5694,0.0852,0.9729,1.7601,27.616843,29.174,8.4285,96.992,36.263,1.6045514453888523,0.072,0
2024-09-23T11:06:13Z,0.589,22.3328,22.32,1.5656,0.0852,0.9729,1.6845,27.636672,29.196,8.4254,97.048,35.291,1.6059486394792717,0.073,0
2024-09-23T11:06:13Z,0.608,22.3298,22.32,1.5351,0.0852,0.9729,1.6392,27.664027,29.226,8.4233,97.114,34.092,1.6078003972334953,0.073,0
2024-09-23T11:06:13Z,0.626,22.3273,22.41,1.5618,0.0852,0.846,1.6996,27.678324,29.242,8.4236,97.179,33.571,1.6088204650476876,0.072,0
2024-09-23T11:06:13Z,0.645,22.3254,22.41,1.5618,0.0852,0.846,1.8809,27.67541,29.239,8.4267,97.237,32.813,1.6087142117654951,0.071,0
2024-09-23T11:06:13Z,0.662,22.3239,22.41,1.5541,0.0852,0.846,1.9111,27.662475,29.227,8.4318,97.288,31.913,1.60807019579721,0.069,0
2024-09-23T11:06:13Z,0.68,22.3227,22.41,1.5618,0.0852,0.846,1.9413,27.648016,29.212,8.4377,97.317,31.105,1.6072409247660238,0.068,0
2024-09-23T11:06:13Z,0.697,22.3215,22.41,1.5656,0.0852,0.846,1.8658,27.636142,29.2,8.4435,97.304,30.397,1.60658608051192,0.068,0
2024-09-23T11:06:13Z,0.714,22.3202,22.41,1.5046,0.0852,0.9729,1.9111,27.623688,29.188,8.4488,97.246,29.88,1.6059348376992066,0.067,0
2024-09-23T11:06:13Z,0.731,22.3189,22.41,1.5007,0.0852,0.9729,1.9413,27.611314,29.175,8.4534,97.17,29.531,1.6052254300602375,0.068,0
2024-09-23T11:06:13Z,0.748,22.3176,22.41,1.5084,0.0852,0.9729,1.9413,27.599704,29.164,8.4562,97.109,29.041,1.6046322804551298,0.069,0
2024-09-23T11:06:13Z,0.765,22.3164,22.41,1.4893,0.0852,0.9729,1.8809,27.585761,29.15,8.4552,97.076,28.621,1.6038610779434528,0.072,0
2024-09-23T11:06:13Z,0.784,22.3152,22.41,1.4016,0.1278,0.9306,1.9111,27.577716,29.142,8.4504,97.06,28.061,1.6034387223835471,0.074,0
2024-09-23T11:06:13Z,0.803,22.3142,22.41,1.3977,0.1278,0.9306,1.8809,27.581388,29.146,8.444,97.044,27.794,1.6037069237634716,0.077,0
2024-09-23T11:06:13Z,0.823,22.3132,22.41,1.371,0.1278,0.9306,2.032,27.581825,29.148,8.4388,97.014,27.073,1.6038588208461153,0.08,0
2024-09-23T11:06:13Z,0.844,22.3122,22.41,1.3787,0.1278,0.9306,1.9413,27.579144,29.146,8.436,96.974,26.514,1.6037781011882009,0.082,0
2024-09-23T11:06:13Z,0.866,22.3111,22.5,1.516,0.0852,0.8883,2.1679,27.584578,29.152,8.4349,96.939,25.809,1.6041661971314605,0.083,0
2024-09-23T11:06:13Z,0.888,22.3097,22.5,1.5084,0.0852,0.8883,2.183,27.59161,29.16,8.4338,96.915,25.243,1.6046814023941252,0.083,0
2024-09-23T11:06:13Z,0.909,22.3082,22.5,1.4855,0.0852,0.8883,2.0773,27.590169,29.159,8.4314,96.891,24.786,1.6046768330504186,0.081,0
2024-09-23T11:06:13Z,0.93,22.3069,22.5,1.5236,0.0852,0.8883,2.2586,27.583852,29.153,8.4281,96.85,24.301,1.604374270867636,0.079,0
2024-09-23T11:06:13Z,0.95,22.3056,22.5,1.5007,0.0852,0.8883,1.8507,27.586905,29.157,8.4253,96.803,23.924,1.6046533384534687,0.076,0
2024-09-23T11:06:13Z,0.969,22.3046,22.59,1.4969,0.0852,0.9306,1.9111,27.596161,29.167,8.4234000000000009,96.768,23.66,1.6052706135731392,0.072,0
2024-09-23T11:06:13Z,0.987,22.3037,22.59,1.5236,0.0852,0.9306,1.9413,27.602138,29.174,8.4214,96.744,23.359,1.6057098654521504,0.069,0
2024-09-23T11:06:13Z,1.004,22.3029,22.59,1.5084,0.0852,0.9306,2.0169,27.614397,29.187,8.4179,96.718,23.222,1.6064945542979463,0.067,0
2024-09-23T11:06:13Z,1.02,22.3024,22.59,1.3939,0.0852,0.9306,1.7601,27.636206,29.21,8.4139,96.677,23.051,1.607850245313343,0.065,0
