Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent Rate (m/s),Density_mg_m3,Flag
2019-06-28T13:30:41Z,11.236,13.5568,0.7596,0.0923,246.45689,319.502,11.5637,111.14,8.132,263.0581,34.777,0.1518,0.087,999.4755,0
2019-06-28T13:30:41Z,11.258,13.5534,0.7596,0.0491,246.337547,319.386,11.7492,112.916,8.132,262.9445,34.576,0.1518,0.088,999.476,0
2019-06-28T13:30:41Z,11.28,13.5496,0.7558,0.0202,246.263871,319.344,11.8902,114.263,8.131,262.5281,34.35,0.1518,0.087,999.4766,0
2019-06-28T13:30:41Z,11.3,13.5455,0.7481,0.0058,246.069514,319.079,11.9841,115.159,8.132,262.6038,34.215,0.1516,0.086,999.4771,0
2019-06-28T13:30:41Z,11.318,13.5422,0.7786,-0.1816,245.980588,319.037,11.995,115.258,8.13,262.831,34.039,0.1516,0.085,999.4776,0
2019-06-28T13:30:41Z,11.337,13.5391,0.7825,-0.1095,245.775709,318.778,11.945,114.773,8.132,263.5124,33.859,0.1515,0.083,999.4782,0
2019-06-28T13:30:41Z,11.356,13.5361,0.7634,-0.2826,245.575952,318.55,11.8248,113.613,8.131,263.9667,33.649,0.1514,0.081,999.4786,0
2019-06-28T13:30:41Z,11.375,13.5334,0.771,-0.1961,245.510595,318.501,11.6758,112.177,8.129,263.8152,33.508,0.1513,0.079,999.4791,0
2019-06-28T13:30:41Z,11.395,13.531,0.7481,-0.0663,245.348052,318.308,11.4988,110.474,8.132,263.5502,33.336,0.1512,0.077,999.4795,0
2019-06-28T13:30:41Z,11.417,13.5285,0.7519,-0.1816,245.299185,318.256,11.3594,109.132,8.13,263.8152,33.115,0.1512,0.076,999.4799,0
2019-06-28T13:30:41Z,11.443,13.5258,0.7329,-0.2105,245.511538,318.568,11.2212,107.801,8.13,264.8752,32.92,0.1514,0.078,999.4805,0
2019-06-28T13:30:41Z,11.47,13.5231,0.7596,-0.1961,245.742502,318.882,11.1343,106.962,8.133,267.6388,32.668,0.1515,0.082,999.4811,0
2019-06-28T13:30:41Z,11.49,13.52,0.6909,-0.2826,245.939952,319.161,11.0927,106.557,8.132,267.7903,32.513,0.1516,0.085,999.4816,0
2019-06-28T13:30:41Z,11.505,13.5173,0.6833,-0.2105,246.104198,319.403,11.0895,106.52,8.132,268.5474,32.462,0.1518,0.086,999.4822,0
2019-06-28T13:30:41Z,11.515,13.5153,0.7024,-0.2105,246.166896,319.502,11.1185,106.792,8.13,268.926,32.404,0.1518,0.083,999.4826,0
2019-06-28T13:30:41Z,11.526,13.5134,0.7405,0.1212,246.161359,319.523,11.1752,107.329,8.13,269.6453,32.269,0.1518,0.078,999.4831,0
2019-06-28T13:30:41Z,11.536,13.5116,0.6985,0.0923,246.051215,319.395,11.2448,107.99,8.132,269.0395,32.166,0.1518,0.07,999.4833,0
2019-06-28T13:30:41Z,11.544,13.51,0.7176,0.0923,245.974613,319.3,11.3138,108.645,8.131,269.3424,32.082,0.1517,0.06,999.4836,0
2019-06-28T13:30:41Z,11.548,13.5088,0.7176,0.0491,245.987216,319.352,11.3912,109.381,8.131,269.1531,32.058,0.1517,0.05,999.4839,0
2019-06-28T13:30:41Z,11.554,13.5079,0.7825,-0.1672,246.005594,319.365,11.4529,109.966,8.131,268.5853,32.093,0.1517,0.04,999.4841,0
2019-06-28T13:30:41Z,11.56,13.5064,0.8092,-0.1816,245.921806,319.303,11.5017,110.429,8.133,268.0174,32.022,0.1517,0.033,999.4843,0
2019-06-28T13:30:41Z,11.569,13.5045,0.8244,-0.1961,245.851957,319.162,11.5369,110.761,8.132,267.7903,31.891,0.1516,0.03,999.4844,0
