Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag
2022-07-01T09:16:31Z,-0.565,26.3414,3.1226,9.8106,34.634,35.588461,10.9253,98.871,287.25,1.7633077615456627,0.049,0
2022-07-01T09:16:31Z,-0.551,26.3459,3.311,9.81,37.381,38.417275,10.827,85.813,593.02,1.9116060601151583,0.083,0
2022-07-01T09:16:31Z,-0.528,26.3543,3.4143,9.8101,38.969,40.061582,10.1593,74.819,885.71,1.9974522958245857,0.117,0
2022-07-01T09:16:31Z,-0.495,26.3636,3.4256,9.8105,39.237,40.344243,9.1025,66.867,1127,2.011627765152195,0.151,0
2022-07-01T09:16:31Z,-0.45,26.3711,3.4576,9.8108,39.254,40.349205,7.9487,62.55,1334.5,2.012232273713298,0.178,0
2022-07-01T09:16:31Z,-0.395,26.3754,3.5152,9.8111,39.257,40.324159,6.8522,62.016,1426.2,2.012211450772459,0.191,0
2022-07-01T09:16:31Z,-0.333,26.3948,3.5458,9.8111,39.272,40.311499,5.9392,64.396,1418,2.012200669938873,0.187,0
2022-07-01T09:16:31Z,-0.268,26.4186,3.5477,9.8108,39.246,40.263626,5.2814,67.986,1365.8,2.0097757873365993,0.168,0
2022-07-01T09:16:31Z,-0.219,26.3968,3.5507,9.811,39.151,40.150495,4.9248,71.502,1347.5,2.005538864955467,0.141,0
2022-07-01T09:16:31Z,-0.194,26.3508,3.5575,9.8112,39.036,40.024141,4.908,74.877,1394.7,2.00123598056291,0.113,0
2022-07-01T09:16:31Z,-0.185,26.3157,3.562,9.8107,38.969,39.951462,5.1666,79.359,1444.8,1.999076538156065,0.087,0
2022-07-01T09:16:31Z,-0.18,26.2868,3.5635,9.8105,38.964,39.947055,5.4962,86.212,1476.5,2.0000268806086066,0.067,0
2022-07-01T09:16:31Z,-0.165,26.2676,3.5585,9.811,38.987,39.970862,5.787,94.834,1493.5,2.002091972666599,0.056,0
2022-07-01T09:16:31Z,-0.142,26.2565,3.5458,9.8112,38.988,39.969172,6.0201,103.428,1498.5,2.002616270199959,0.054,0
2022-07-01T09:16:31Z,-0.125,26.2534,3.5367,9.8109,38.951,39.926619,6.3207,110.693,1491.8,2.0007318061822432,0.054,0
2022-07-01T09:16:31Z,-0.116,26.2556,3.5349,9.8107,38.893,39.861543,6.9031,116.058,1362.5,1.997479530091077,0.051,0
2022-07-01T09:16:31Z,-0.106,26.2568,3.5314,9.8107,38.828,39.790117,7.6664,119.313,993.17,1.993888719553754,0.046,0
2022-07-01T09:16:31Z,-0.093,26.2533,3.5239,9.8108,38.78,39.738325,8.3932,120.512,719.73,1.9914222156434787,0.041,0
2022-07-01T09:16:31Z,-0.082,26.2457,3.5205,9.8103,38.753,39.708044,8.9953,120.253,885.77,1.9902719740234514,0.038,0
2022-07-01T09:16:31Z,-0.073,26.2387,3.5222,9.8101,38.741,39.694109,9.4338,119.694,1212.3,1.9899131894457989,0.038,0
2022-07-01T09:16:31Z,-0.065,26.2327,3.5285,9.8103,38.754,39.704908,9.6991,119.794,1402.7,1.9908740127619413,0.038,0
2022-07-01T09:16:31Z,-0.057,26.2285,3.5402,9.8103,38.754,39.703543,9.783,120.781,1450.3,1.9910509480347847,0.039,0
2022-07-01T09:16:31Z,-0.048,26.2263,3.5473,9.8103,38.729,39.677601,9.7211,122.402,1441,1.989781506849573,0.04,0
2022-07-01T09:16:31Z,-0.038,26.2235,3.5477,9.8108,38.715,39.66137,9.6458,124.507,1420.3,1.9891365390428593,0.043,0
2022-07-01T09:16:31Z,-0.025,26.2206,3.5471,9.8111,38.7,39.642355,9.651,127.227,1345,1.988441161833061,0.048,0
2022-07-01T09:16:31Z,-0.013,26.2188,3.5371,9.8106,38.647,39.582747,9.7427,130.424,1227.3,1.985629111200734,0.053,0
2022-07-01T09:16:31Z,0.001,26.2193,3.5177,9.8104,38.557,39.480896,9.8807,133.474,1088,1.9807050782785398,0.058,0
2022-07-01T09:16:31Z,0.016,26.2171,3.5062,9.8104,38.449,39.356286,10.041,135.866,965,1.9749146078643063,0.061,0
2022-07-01T09:16:31Z,0.035,26.212,3.5024,9.8107,38.336,39.224101,10.2624,137.491,940.44,1.9689734236675587,0.062,0
2022-07-01T09:16:31Z,0.054,26.2064,3.4804,9.8111,38.229,39.098161,10.5466,138.242,929.27,1.9633797527028252,0.06,0
2022-07-01T09:16:31Z,0.07,26.1944,3.4402,9.8108,38.13,38.981531,10.8133,138.042,886.23,1.9584871385512872,0.055,0
2022-07-01T09:16:31Z,0.083,26.1758,3.4182,9.8104,38.058,38.894366,11.0056,136.927,909.3,1.9553368898396855,0.05,0
2022-07-01T09:16:31Z,0.094,26.151,3.4164,9.8107,38.031,38.854581,11.1481,135.004,897.35,1.9548932532365468,0.046,0
2022-07-01T09:16:31Z,0.102,26.1292,3.4233,9.8109,38.023,38.83813,11.2172,132.82,805.83,1.9553606946496858,0.046,0
2022-07-01T09:16:31Z,0.109,26.1113,3.4374,9.8109,38.023,38.830496,11.199,131.098,738.57,1.956103037158602,0.051,0
2022-07-01T09:16:31Z,0.12,26.0905,3.445,9.8108,38.027,38.829792,11.1173,129.918,671.95,1.9571843226364591,0.056,0
2022-07-01T09:16:31Z,0.137,26.075,3.4436,9.8105,38.032,38.829607,10.9474,128.889,614.59,1.9581007306231417,0.061,0
2022-07-01T09:16:31Z,0.157,26.0648,3.4298,9.8101,38.037,38.82825,10.7421,127.921,586.71,1.958797259372305,0.063,0
2022-07-01T09:16:31Z,0.181,26.0541,3.4063,9.81,38.028,38.813385,10.6043,127.049,550.48,1.9587501685655606,0.063,0
2022-07-01T09:16:31Z,0.199,26.0475,3.3939,9.8102,38.005,38.784913,10.5313,125.993,517.83,1.9577681626748944,0.06,0
