Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag,CDOM_ugL,Phycoerythrin,Phycocyanin
2023-06-30T14:16:22Z,-0.104,28.0575,NA,NA,NA,NA,NA,NA,1167.2,NA,0.191,0,NA,NA,NA
2023-06-30T14:16:22Z,-0.053,27.4522,NA,NA,NA,NA,NA,NA,1052.5,NA,0.184,0,NA,NA,NA
2023-06-30T14:16:22Z,-0.005,26.9783,NA,NA,NA,NA,NA,NA,208.48,NA,0.17,0,NA,NA,NA
2023-06-30T14:16:22Z,0.065,25.3176,0.2049,-0.0627,78.724935,78.205,8.0299,97,433.23,4.2914566525521085,-0.009,0,1.44,0,0.0846
2023-06-30T14:16:22Z,0.062,25.3185,0.1782,0.1778,78.727387,78.205,8.0019,97.005,422.26,4.291373392834841,-0.007,0,1.44,0,0.0846
2023-06-30T14:16:22Z,0.061,25.3208,0.2011,0.1929,78.729777,78.206,7.9821,97.037,435.4,4.291219155497234,-0.005,0,1.44,0,0.0846
2023-06-30T14:16:22Z,0.06,25.3236,0.1859,0.253,78.726788,78.203,7.9703,97.08,439.58,4.290783379521026,-0.002,0,1.44,0,0.0846
2023-06-30T14:16:22Z,0.06,25.3261,0.1744,0.1929,78.715638,78.194,7.9656,97.125,427.34,4.290022570384686,0.002,0,1.26,0,0
2023-06-30T14:16:22Z,0.06,25.3278,0.1668,-0.0777,78.701294,78.184,7.9657,97.164,429.76,4.289277119381061,0.006,0,1.26,0,0
2023-06-30T14:16:22Z,0.061,25.3286,0.1592,-0.0627,78.683899,78.172,7.9683,97.187,417.24,4.288497406018138,0.012,0,1.26,0,0
2023-06-30T14:16:22Z,0.065,25.3286,0.2088,-0.0326,78.660798,78.156,7.9717,97.185,410.68,4.287556497119531,0.019,0,1.26,0,0
2023-06-30T14:16:22Z,0.07,25.3274,0.1782,-0.0326,78.629801,78.134,7.9756,97.153,403.51,4.2863737300079565,0.027,0,1.17,0,0.0423
2023-06-30T14:16:22Z,0.078,25.3249,0.2278,-0.0176,78.588595,78.105,7.9792,97.091,402.03,4.284899553100711,0.035,0,1.17,0,0.0423
2023-06-30T14:16:22Z,0.088,25.3213,0.2355,-0.0326,78.542069,78.075,7.9816,97.011,444.19,4.283468060278904,0.043,0,1.17,0,0.0423
2023-06-30T14:16:22Z,0.1,25.3168,0.2393,-0.0627,78.505602,78.061,7.9821,96.926,422.17,4.283060420009224,0.049,0,1.17,0,0.0423
2023-06-30T14:16:22Z,0.115,25.3112,0.2507,-0.1228,78.489315,78.07,7.9803,96.844,467.26,4.284107014644887,0.055,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.131,25.3036,0.0981,-0.0777,78.484892,78.092,7.9763,96.767,488.86,4.286103657108485,0.058,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.147,25.2929,0.121,-0.1228,78.483215,78.114,7.9713,96.702,1105.5,4.288388023841778,0.059,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.163,25.2789,0.1134,-0.0927,78.483834,78.134,7.9663,96.659,326.12,4.290861574893491,0.059,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.178,25.2624,0.1439,0.0125,78.482946,78.15,7.962,96.645,397.16,4.293332975353923,0.057,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.192,25.2457,0.2545,-0.0476,78.476342,78.157,7.9581,96.655,397.85,4.2952944611482815,0.055,0,1.17,0,0.1269
2023-06-30T14:16:22Z,0.205,25.2308,0.2431,-0.0927,78.462261,78.154,7.9549,96.676,330.97,4.296500782203119,0.053,0,1.17,0,0.1269
2023-06-30T14:16:22Z,0.218,25.2181,0.2431,-0.0927,78.440918,78.142,7.9533,96.697,365.37,4.296972894364105,0.051,0,1.17,0,0.1269
2023-06-30T14:16:22Z,0.23,25.2073,0.2355,-0.1378,78.414559,78.126,7.9537,96.703,337.21,4.29703278669635,0.051,0,1.17,0,0.1269
2023-06-30T14:16:22Z,0.243,25.1985,0.2316,-0.0927,78.388064,78.113,7.9558,96.688,351.05,4.297083609650666,0.051,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.256,25.1915,0.2431,-0.0627,78.370244,78.114,7.9585,96.657,520.78,4.297792732008204,0.052,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.269,25.1854,0.2584,-0.10780000000000001,78.360314,78.123,7.9611,96.622,330.32,4.298890138377377,0.053,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.284,25.1788,0.2393,-0.0627,78.355626,78.132,7.9626,96.605,348.08,4.300034289624261,0.054,0,1.26,0,0.0846
2023-06-30T14:16:22Z,0.298,25.1701,0.2507,-0.1228,78.362866,78.145,7.9626,96.617,422.44,4.301610151306036,0.053,0,1.17,0.0426,0.0846
2023-06-30T14:16:22Z,0.313,25.1584,0.2431,0.0426,78.376026,78.156,7.9618,96.666,453.95,4.303347971674099,0.052,0,1.17,0.0426,0.0846
2023-06-30T14:16:22Z,0.326,25.1462,0.2431,-0.0476,78.386708,78.158,7.9607,96.753,437.87,4.304601941409749,0.049,0,1.17,0.0426,0.0846
2023-06-30T14:16:22Z,0.338,25.1372,0.2164,-0.0627,78.401731,78.161,7.9606,96.87,451.98,4.305617279381195,0.045,0,1.17,0.0426,0.0846
2023-06-30T14:16:22Z,0.349,25.1333,0.2316,-0.1528,78.421132,78.168,7.9622,96.991,520.21,4.306393739005724,0.041,0,1.26,0,0.1269
2023-06-30T14:16:22Z,0.359,25.1349,0.2584,-0.10780000000000001,78.442148,78.179,7.966,97.09,423.82,4.3068936614598305,0.037,0,1.26,0,0.1269
2023-06-30T14:16:22Z,0.368,25.1405,0.2469,-0.0326,78.462443,78.19,7.9723,97.151,511.02,4.307020666667735,0.034,0,1.26,0,0.1269
