Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR,Salinity,Descent Rate (m/s),Flag
2023-04-12T12:12:16Z,1.55,14.8941,2.34,1.5592,0,0.2115,0.5686,23.353445,29.265,10.2042,101.1,55.796,1.9214582952236037,0.014,0
2023-04-12T12:12:16Z,1.553,14.8964,2.34,1.5973,0,0.2115,0.5235,23.346846,29.259,10.2103,101.066,55.397,1.9209297753469898,0.016,0
2023-04-12T12:12:16Z,1.557,14.8978,2.34,1.5935,0,0.2115,0.7941,23.347581,29.262,10.2148,101.009,55.301,1.9210702538414557,0.018,0
2023-04-12T12:12:16Z,1.562,14.8976,2.34,1.5783,0,0.2115,0.8091,23.353866,29.271,10.217,100.946,55.157,1.9217051794598863,0.021,0
2023-04-12T12:12:16Z,1.568,14.8958,2.34,1.5859,0.0426,0.1269,0.7339,23.359461,29.276,10.2168,100.889,55.457,1.922139765424135,0.023,0
2023-04-12T12:12:16Z,1.575,14.8929,2.34,1.5516,0.0426,0.1269,0.8391,23.363877,29.279,10.214,100.849,55.157,1.9224887793074212,0.026,0
2023-04-12T12:12:16Z,1.581,14.8903,2.34,1.5859,0.0426,0.1269,0.779,23.360376,29.273,10.2089,100.827,54.917,1.922197766289142,0.028,0
2023-04-12T12:12:16Z,1.588,14.8895,2.34,1.5783,0.0426,0.1269,0.7941,23.348024,29.258,10.2027,100.817,54.549,1.9211939490974708,0.031,0
2023-04-12T12:12:16Z,1.596,14.8913,2.34,1.5706,0.0426,0.2961,0.749,23.335402,29.246,10.1966,100.805,54.727,1.9202725499685775,0.034,0
2023-04-12T12:12:16Z,1.605,14.8948,2.34,1.5783,0.0426,0.2961,0.7189,23.321126,29.235,10.1918,100.775,54.324,1.919338370759209,0.038,0
2023-04-12T12:12:16Z,1.615,14.8975,2.34,1.6584,0.0426,0.2961,0.9444,23.305345,29.225,10.189,100.715,54.253,1.918512555245838,0.042,0
2023-04-12T12:12:16Z,1.627,14.897,2.34,1.6507,0.0426,0.2961,0.764,23.299686,29.228,10.188,100.622,53.971,1.9187449157539618,0.045,0
2023-04-12T12:12:16Z,1.639,14.8918,2.34,1.6469,0.0426,0.2961,0.8391,23.30264,29.242,10.188,100.507,54.147,1.9199692747417916,0.048,0
2023-04-12T12:12:16Z,1.652,14.882,2.34,1.6431,0.0426,0.2115,0.749,23.299159,29.248,10.1871,100.389,54.1,1.920860991284855,0.049,0
2023-04-12T12:12:16Z,1.665,14.8691,2.34,1.666,0.0426,0.2115,0.8091,23.288315,29.244,10.1838,100.287,54.253,1.921208190644852,0.05,0
