Date,Depth_m,PAR,Chla_ugL
2020-08-16T20:25:40Z,-0.661,680.72,-0.9398
2020-08-16T20:25:40Z,-0.661,785.57,-0.9277
2020-08-16T20:25:40Z,-0.661,931.86,-0.9388
2020-08-16T20:25:40Z,-0.661,934.76,-0.959
2020-08-16T20:25:40Z,-0.661,786,-0.9526
2020-08-16T20:25:40Z,-0.661,419.21,-0.9381
2020-08-16T20:25:40Z,-0.661,155.92,-0.9456
2020-08-16T20:25:40Z,-0.661,134.38,-0.9475
2020-08-16T20:25:40Z,-0.661,152.25,-0.932
2020-08-16T20:25:40Z,-0.661,340.48,-0.9213
2020-08-16T20:25:40Z,-0.661,698.57,-0.9129
2020-08-16T20:25:40Z,-0.661,955.84,-0.8211
2020-08-16T20:25:40Z,-0.66,1096.2,-0.6409
2020-08-16T20:25:40Z,-0.66,1172.1,-0.5368
2020-08-16T20:25:40Z,-0.66,1141.4,-0.5738
2020-08-16T20:25:40Z,-0.66,1065.4,-1.0499
2020-08-16T20:25:40Z,-0.66,848.5,-1.8965
2020-08-16T20:25:40Z,-0.66,506.27,-2.3414
2020-08-16T20:25:40Z,-0.66,459.02,-2.2522
2020-08-16T20:25:40Z,-0.652,781.52,-0.7694
2020-08-16T20:25:40Z,-0.632,1024.7,1.9778
2020-08-16T20:25:40Z,-0.607,962.08,3.526
2020-08-16T20:25:40Z,-0.587,908.12,4.1877
2020-08-16T20:25:40Z,-0.568,1057.6,10.1213
2020-08-16T20:25:40Z,-0.548,1158.2,75.4124
2020-08-16T20:25:40Z,-0.53,1146.9,195.0719
2020-08-16T20:25:40Z,-0.518,1143,259.8229
2020-08-16T20:25:40Z,-0.51,1160.4,259.7092
2020-08-16T20:25:40Z,-0.506,1185.9,193.5925
2020-08-16T20:25:40Z,-0.503,1206.8,71.4404
2020-08-16T20:25:40Z,-0.49,1219.5,4.7981
2020-08-16T20:25:40Z,-0.462,1224.9,-1.212
2020-08-16T20:25:40Z,-0.432,1226.1,-1.1031
2020-08-16T20:25:40Z,-0.407,1222.8,0.0875
2020-08-16T20:25:40Z,-0.382,1213.5,0.7762
2020-08-16T20:25:40Z,-0.357,1192,0.872
2020-08-16T20:25:40Z,-0.343,1000.8,1.0833
2020-08-16T20:25:40Z,-0.339,825.88,1.4524
2020-08-16T20:25:40Z,-0.337,1003.8,1.6539
2020-08-16T20:25:40Z,-0.332,1201.8,1.6696
2020-08-16T20:25:40Z,-0.313,1231,1.6715
2020-08-16T20:25:40Z,-0.274,1242.9,1.6673
2020-08-16T20:25:40Z,-0.233,1247.5,1.666
2020-08-16T20:25:40Z,-0.211,1251.4,1.6748
2020-08-16T20:25:40Z,-0.202,1254.4,1.678
2020-08-16T20:25:40Z,-0.192,1255.2,1.7047
2020-08-16T20:25:40Z,-0.177,1254,1.7598
2020-08-16T20:25:40Z,-0.164,1250.1,1.7917
2020-08-16T20:25:40Z,-0.158,1246.2,1.8032
2020-08-16T20:25:40Z,-0.156,1243.4,1.8517
2020-08-16T20:25:40Z,-0.156,1236.1,1.9397
2020-08-16T20:25:40Z,-0.156,1226.1,1.9882
2020-08-16T20:25:40Z,-0.156,1222.2,1.991
2020-08-16T20:25:40Z,-0.155,1225.5,2.0303
2020-08-16T20:25:40Z,-0.155,1228.6,2.101
2020-08-16T20:25:40Z,-0.155,1225.5,2.1307
2020-08-16T20:25:40Z,-0.155,1185,2.1326
2020-08-16T20:25:40Z,-0.155,953.11,2.1611
2020-08-16T20:25:40Z,-0.155,752.06,2.199
2020-08-16T20:25:40Z,-0.155,942.05,2.2
2020-08-16T20:25:40Z,-0.155,1185.6,2.1919
2020-08-16T20:25:40Z,-0.155,1233.9,2.1964
2020-08-16T20:25:40Z,-0.155,1228.9,2.1971
2020-08-16T20:25:40Z,-0.155,1167.8,2.2001
2020-08-16T20:25:40Z,-0.155,952.81,2.1956
2020-08-16T20:25:40Z,-0.155,615.08,2.1906
2020-08-16T20:25:40Z,-0.154,391.97,2.244
2020-08-16T20:25:40Z,-0.154,446.06,2.3457
2020-08-16T20:25:40Z,-0.153,696.98,2.399
2020-08-16T20:25:40Z,-0.152,969.16,2.4022
2020-08-16T20:25:40Z,-0.151,1148.8,2.4226
2020-08-16T20:25:40Z,-0.15,1220.7,2.4651
2020-08-16T20:25:40Z,-0.15,1235.9,2.4863
2020-08-16T20:25:40Z,-0.15,1239.7,2.4788
2020-08-16T20:25:40Z,-0.149,1242.6,2.4702
2020-08-16T20:25:40Z,-0.149,1244.6,2.4679
2020-08-16T20:25:40Z,-0.149,1246.8,2.47
2020-08-16T20:25:40Z,-0.149,1246.9,2.4767
2020-08-16T20:25:40Z,-0.149,1245,2.4818
2020-08-16T20:25:40Z,-0.148,1242.7,2.4838
2020-08-16T20:25:40Z,-0.142,1239.7,2.492
2020-08-16T20:25:40Z,-0.128,1237.8,2.4941
2020-08-16T20:25:40Z,-0.117,1236.8,2.4811
2020-08-16T20:25:40Z,-0.112,1236.6,2.4685
2020-08-16T20:25:40Z,-0.108,1237.5,2.4656
2020-08-16T20:25:40Z,-0.102,1238.7,2.4754
2020-08-16T20:25:40Z,-0.092,1239.2,2.4809
2020-08-16T20:25:40Z,-0.08,1239.7,2.485
2020-08-16T20:25:40Z,-0.069,1240.4,2.5064
2020-08-16T20:25:40Z,-0.062,1241.2,2.5295
2020-08-16T20:25:40Z,-0.059,1240.6,2.5442
2020-08-16T20:25:40Z,-0.056,1224.6,2.5415
2020-08-16T20:25:40Z,-0.054,1053.6,2.5341
2020-08-16T20:25:40Z,-0.052,741.86,2.5406
2020-08-16T20:25:40Z,-0.049,607.03,2.5441
2020-08-16T20:25:40Z,-0.046,777.9,2.5573
2020-08-16T20:25:40Z,-0.043,945.63,2.5856
2020-08-16T20:25:40Z,-0.041,870.68,2.6009
2020-08-16T20:25:40Z,-0.04,789.92,2.6089
2020-08-16T20:25:40Z,-0.039,799.67,2.6158
2020-08-16T20:25:40Z,-0.038,766.67,2.6082
2020-08-16T20:25:40Z,-0.037,718.55,2.5926
2020-08-16T20:25:40Z,-0.036,721.83,2.5898
2020-08-16T20:25:40Z,-0.036,747.35,2.6033
2020-08-16T20:25:40Z,-0.036,729.92,2.612
2020-08-16T20:25:40Z,-0.036,666.25,2.6005
2020-08-16T20:25:40Z,-0.036,644.2,2.5872
2020-08-16T20:25:40Z,-0.036,715.19,2.5847
2020-08-16T20:25:40Z,-0.036,785.93,2.5712
2020-08-16T20:25:40Z,-0.035,771.3,2.5472
2020-08-16T20:25:40Z,-0.035,722.38,2.5329
2020-08-16T20:25:40Z,-0.035,696.85,2.5318
2020-08-16T20:25:40Z,-0.035,672.08,2.5143
2020-08-16T20:25:40Z,-0.034,612.96,2.465
2020-08-16T20:25:40Z,-0.034,478.57,2.4227
2020-08-16T20:25:40Z,-0.034,374.49,2.4027
2020-08-16T20:25:40Z,-0.034,412.96,2.3848
2020-08-16T20:25:40Z,-0.034,433.2,2.3692
2020-08-16T20:25:40Z,-0.034,321.02,2.3672
2020-08-16T20:25:40Z,-0.034,247.25,2.3698
2020-08-16T20:25:40Z,-0.034,259.71,2.4102
2020-08-16T20:25:40Z,-0.034,242.33,2.5025
2020-08-16T20:25:40Z,-0.034,194.89,2.5615
2020-08-16T20:25:40Z,-0.034,169,2.5699
2020-08-16T20:25:40Z,-0.033,167.01,2.5952
2020-08-16T20:25:40Z,-0.033,171.37,2.648
2020-08-16T20:25:40Z,-0.033,180.29,2.6828
2020-08-16T20:25:40Z,-0.033,183.23,2.6825
2020-08-16T20:25:40Z,-0.033,181.47,2.6734
2020-08-16T20:25:40Z,-0.033,184.26,2.6869
2020-08-16T20:25:40Z,-0.033,185.13,2.7218
2020-08-16T20:25:40Z,-0.033,183.73,2.7427
2020-08-16T20:25:40Z,-0.033,179.81,2.7479
2020-08-16T20:25:40Z,-0.033,175.36,2.7468
