Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,0.319,32.527,1.4567
2020-08-19T20:06:54Z,0.319,32.562,1.4253
2020-08-19T20:06:54Z,0.319,32.586,1.3988
2020-08-19T20:06:54Z,0.318,32.59,1.3945
2020-08-19T20:06:54Z,0.318,32.58,1.3828
2020-08-19T20:06:54Z,0.318,32.565,1.3619
2020-08-19T20:06:54Z,0.318,32.546,1.3434
2020-08-19T20:06:54Z,0.318,32.526,1.3393
2020-08-19T20:06:54Z,0.318,32.514,1.3698
2020-08-19T20:06:54Z,0.318,32.527,1.407
2020-08-19T20:06:54Z,0.318,32.523,1.4078
2020-08-19T20:06:54Z,0.318,32.485,1.3983
2020-08-19T20:06:54Z,0.319,32.495,1.4166
2020-08-19T20:06:54Z,0.319,32.545,1.4481
2020-08-19T20:06:54Z,0.319,32.556,1.4643
2020-08-19T20:06:54Z,0.319,32.55,1.4598
2020-08-19T20:06:54Z,0.319,32.565,1.4408
2020-08-19T20:06:54Z,0.319,32.584,1.4258
2020-08-19T20:06:54Z,0.319,32.598,1.4116
2020-08-19T20:06:54Z,0.319,32.605,1.3926
2020-08-19T20:06:54Z,0.319,32.587,1.3876
2020-08-19T20:06:54Z,0.319,32.568,1.3696
2020-08-19T20:06:54Z,0.319,32.583,1.3178
2020-08-19T20:06:54Z,0.319,32.571,1.2758
2020-08-19T20:06:54Z,0.319,32.546,1.2632
2020-08-19T20:06:54Z,0.319,32.566,1.2802
2020-08-19T20:06:54Z,0.319,32.586,1.3191
2020-08-19T20:06:54Z,0.319,32.606,1.3332
2020-08-19T20:06:54Z,0.319,32.623,1.3267
2020-08-19T20:06:54Z,0.319,32.627,1.3451
2020-08-19T20:06:54Z,0.319,32.627,1.3837
2020-08-19T20:06:54Z,0.319,32.626,1.4124
2020-08-19T20:06:54Z,0.319,32.639,1.415
2020-08-19T20:06:54Z,0.319,32.646,1.3676
2020-08-19T20:06:54Z,0.319,32.626,1.2974
2020-08-19T20:06:54Z,0.319,32.622,1.2719
2020-08-19T20:06:54Z,0.319,32.642,1.2789
2020-08-19T20:06:54Z,0.319,32.652,1.2759
2020-08-19T20:06:54Z,0.319,32.661,1.2848
2020-08-19T20:06:54Z,0.319,32.667,1.3198
2020-08-19T20:06:54Z,0.319,32.678,1.3364
2020-08-19T20:06:54Z,0.319,32.708,1.3335
2020-08-19T20:06:54Z,0.319,32.706,1.3697
2020-08-19T20:06:54Z,0.319,32.676,1.4401
2020-08-19T20:06:54Z,0.319,32.683,1.4795
2020-08-19T20:06:54Z,0.319,32.73,1.4835
2020-08-19T20:06:54Z,0.32,32.768,1.5073
2020-08-19T20:06:54Z,0.32,32.774,1.5675
2020-08-19T20:06:54Z,0.319,32.763,1.6011
2020-08-19T20:06:54Z,0.319,32.759,1.5985
2020-08-19T20:06:54Z,0.319,32.776,1.5839
2020-08-19T20:06:54Z,0.32,32.782,1.5582
2020-08-19T20:06:54Z,0.32,32.772,1.5545
2020-08-19T20:06:54Z,0.32,32.774,1.5482
2020-08-19T20:06:54Z,0.319,32.792,1.5116
2020-08-19T20:06:54Z,0.319,32.818,1.4839
2020-08-19T20:06:54Z,0.319,32.851,1.4799
2020-08-19T20:06:54Z,0.319,32.883,1.482
2020-08-19T20:06:54Z,0.319,32.886,1.4814
2020-08-19T20:06:54Z,0.319,32.885,1.5014
2020-08-19T20:06:54Z,0.319,32.895,1.5612
2020-08-19T20:06:54Z,0.319,32.878,1.6129
2020-08-19T20:06:54Z,0.319,32.863,1.6208
2020-08-19T20:06:54Z,0.319,32.876,1.6088
2020-08-19T20:06:54Z,0.319,32.894,1.6023
2020-08-19T20:06:54Z,0.319,32.896,1.6092
2020-08-19T20:06:54Z,0.319,32.903,1.6147
2020-08-19T20:06:54Z,0.319,32.942,1.574
2020-08-19T20:06:54Z,0.319,32.976,1.5078
2020-08-19T20:06:54Z,0.32,33.002,1.4918
2020-08-19T20:06:54Z,0.32,33.049,1.5048
2020-08-19T20:06:54Z,0.32,33.082,1.5211
2020-08-19T20:06:54Z,0.32,33.082,1.565
2020-08-19T20:06:54Z,0.32,33.089,1.6063
2020-08-19T20:06:54Z,0.319,33.152,1.6106
2020-08-19T20:06:54Z,0.319,33.258,1.5981
2020-08-19T20:06:54Z,0.319,33.325,1.5981
2020-08-19T20:06:54Z,0.319,33.341,1.6014
