Date,Depth_m,PAR,Chla_ugL
2020-09-02T20:10:45Z,-0.681,229.93,-0.9213
2020-09-02T20:10:45Z,-0.681,134.79,-0.9222
2020-09-02T20:10:45Z,-0.681,92.814,-0.9052
2020-09-02T20:10:45Z,-0.681,83.27,-0.9067
2020-09-02T20:10:45Z,-0.681,88.267,-0.9212
2020-09-02T20:10:45Z,-0.681,102.25,-0.9091
2020-09-02T20:10:45Z,-0.681,129.98,-0.8742
2020-09-02T20:10:45Z,-0.681,314.38,-0.8521
2020-09-02T20:10:45Z,-0.681,645.84,-0.852
2020-09-02T20:10:45Z,-0.681,827.98,-0.8157
2020-09-02T20:10:45Z,-0.681,846.89,-0.738
2020-09-02T20:10:45Z,-0.68,856.64,-0.7036
2020-09-02T20:10:45Z,-0.675,872.03,-0.6765
2020-09-02T20:10:45Z,-0.651,886.43,-0.2388
2020-09-02T20:10:45Z,-0.598,894,0.5836
2020-09-02T20:10:45Z,-0.526,891.53,1.0366
2020-09-02T20:10:45Z,-0.454,880.44,1.0998000000000001
2020-09-02T20:10:45Z,-0.398,871.45,1.4711
2020-09-02T20:10:45Z,-0.357,871.31,2.1601
2020-09-02T20:10:45Z,-0.315,883.24,2.5342
2020-09-02T20:10:45Z,-0.26,909.52,2.5714
2020-09-02T20:10:45Z,-0.202,928.49,2.6764
2020-09-02T20:10:45Z,-0.15,913.91,2.8788
2020-09-02T20:10:45Z,-0.105,738.4,2.9965
2020-09-02T20:10:45Z,-0.07,441.2,3.0135
2020-09-02T20:10:45Z,-0.047,306.24,3.0173
2020-09-02T20:10:45Z,-0.035,283.83,3.0611
2020-09-02T20:10:45Z,-0.027,237.98,3.1524
2020-09-02T20:10:45Z,-0.008,234.92,3.214
2020-09-02T20:10:45Z,0.026,268.25,3.2335
2020-09-02T20:10:45Z,0.066,287.31,3.2653
2020-09-02T20:10:45Z,0.103,285.08,3.3128
2020-09-02T20:10:45Z,0.135,275.28,3.3298
2020-09-02T20:10:45Z,0.161,279.18,3.3369
2020-09-02T20:10:45Z,0.181,295.94,3.3897
2020-09-02T20:10:45Z,0.191,294.57,3.4531
2020-09-02T20:10:45Z,0.198,286.69,3.4743
2020-09-02T20:10:45Z,0.208,305.26,3.4748
2020-09-02T20:10:45Z,0.218,328.12,3.468
2020-09-02T20:10:45Z,0.225,327.8,3.4491
2020-09-02T20:10:45Z,0.23,332.61,3.428
2020-09-02T20:10:45Z,0.232,341.92,3.413
2020-09-02T20:10:45Z,0.231,356.89,3.411
2020-09-02T20:10:45Z,0.23,372.39,3.423
2020-09-02T20:10:45Z,0.231,348.33,3.4335
2020-09-02T20:10:45Z,0.234,325.34,3.4235
2020-09-02T20:10:45Z,0.238,326.04,3.4074
2020-09-02T20:10:45Z,0.244,336.13,3.4094
2020-09-02T20:10:45Z,0.249,335.37,3.4198
2020-09-02T20:10:45Z,0.25,310.7,3.4198
2020-09-02T20:10:45Z,0.25,318.53,3.418
