"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:06:35","19:10:33","CO2",-0.042,0.96,22.62,-0.249,"FCR",50,2026-04-04,"13:03"
2,"2001-12-31","19:13:01","19:17:00","CO2",-0.035,0.97,22.89,-0.207,"FCR",50,2026-04-04,"13:03"
1,"2001-12-31","19:06:35","19:10:33","CH4",0.001,0.95,22.62,0.006,"FCR",50,2026-04-04,"13:03"
2,"2001-12-31","19:13:01","19:17:00","CH4",0.001,0.97,22.89,0.006,"FCR",50,2026-04-04,"13:03"
