Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
BVR,50,2025-03-10 10:20:00,3,5e-4,5e-4,2.118,2.4402,0.7217,0.7234,0.0761,0.0267,5.4511,5.395,1.2884,1.2891,1.4392,1.4803,1.0008,0.5515,0.1471,0.14,0.001,0.001,0.01,0.01,0.0247,0.0191,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 10:25:00,6,5e-4,5e-4,2.1035,2.3989,0.7139,0.7289,0.0833,0.0341,5.4525,5.3699,1.2835,1.308,1.4292,1.466,1.0169,0.5702,0.1475,0.142,0.001,0.001,0.0099,0.0099,0.0247,0.0201,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 12:00:00,9,5e-4,5e-4,2.1166,2.1037,0.7243,0.7059,0.0708,0.0368,5.449,5.3851,1.2838,1.2775,1.4364,1.4181,1.0049,0.5628,0.1498,0.1271,0.001,0.001,0.01,0.0098,0.0248,0.0231,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,100,2025-03-10 12:00:00,0.1,NA,5e-4,NA,2.2072,NA,0.711,NA,0.0208,NA,5.7217,NA,1.2678,NA,1.4801,NA,0.4183,NA,0.0249,NA,0.001,NA,0.0101,NA,0.0179,1,1,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,1,0,1,0
FCR,50,2025-03-10 13:18:00,0.1,5e-4,5e-4,2.3422,2.3537,0.8176,0.8074,0.0584,0.0296,6.3318,6.3656,1.1674,1.1626,1.7239,1.692,0.4345,0.1693,0.0181,0.0027,0.001,0.001,0.0112,0.0111,0.0164,0.0154,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:27:00,1.6,5e-4,5e-4,2.3334,2.3814,0.8236,0.8091,0.0742,0.0332,6.4148,6.3724,1.1605,1.1695,1.7246,1.6898,0.4371,0.1803,0.0186,0.0036,0.001,0.001,0.0112,0.011,0.0165,0.0149,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:37:00,3.8,5e-4,5e-4,2.3492,2.3764,0.8189,0.8138,0.0602,0.0238,6.3809,6.4034,1.1607,1.1723,1.7105,1.7077,0.4309,0.1606,0.0181,0.0021,0.001,0.001,0.0113,0.0112,0.0165,0.0155,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:48:00,5,5e-4,5e-4,2.3535,2.3526,0.8208,0.815,0.0694,0.025,6.414,6.3617,1.1622,1.1526,1.7097,1.699,0.4718,0.1626,0.0225,0.0027,0.001,0.001,0.0113,0.0111,0.0169,0.0155,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:58:00,6.2,5e-4,5e-4,2.3356,2.3932,0.8198,0.8227,0.0756,0.0373,6.425,6.3948,1.1515,1.2023,1.7088,1.7293,0.5363,0.1576,0.0287,0.0046,0.0011,0.001,0.0113,0.0117,0.0171,0.0169,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-10 14:06:00,8,5e-4,5e-4,2.33,2.3399,0.8245,0.8102,0.0739,0.0232,6.4198,6.3644,1.1565,1.1464,1.7129,1.6898,0.5616,0.1656,0.0303,0.0042,0.0012,0.001,0.0114,0.0111,0.0171,0.0155,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-10 14:15:00,9,5e-4,5e-4,2.3435,2.7088,0.8242,0.8313,0.0699,0.0235,6.4179,6.3899,1.1625,1.0913,1.7135,1.7853,0.6076,0.1596,0.0298,0.0039,0.0013,0.001,0.0114,0.0112,0.0172,0.0123,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-17 09:30:00,0.1,5e-4,5e-4,2.3535,2.386,0.8244,0.822,0.0399,0.0219,6.2394,6.2871,1.1655,1.1804,1.7344,1.7307,0.4268,0.214,0.0183,0.0037,0.001,0.001,0.0113,0.0113,0.016,0.0156,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-17 09:35:00,1.6,5e-4,5e-4,2.3381,2.6042,0.8162,0.8285,0.0378,0.0157,6.2176,6.2361,1.1471,1.2134,1.7012,1.7485,0.4249,0.2103,0.0184,0.0042,0.001,0.001,0.0113,0.0113,0.0161,0.0139,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-17 09:40:00,3.8,5e-4,5e-4,2.3325,2.3365,0.8133,0.803,0.0371,0.0207,6.1895,6.2028,1.1588,1.1684,1.7059,1.6921,0.4227,0.1945,0.0185,0.0032,0.001,0.001,0.0113,0.0112,0.0161,0.0154,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,100,2025-03-17 09:42:00,0.1,5e-4,5e-4,2.2051,2.6071,0.7381,0.7383,0.0792,0.0246,5.5502,5.4877,1.2634,1.237,1.5581,1.5338,0.7969,0.411,0.057,0.0123,0.001,0.001,0.0105,0.0102,0.0196,0.0111,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-17 09:46:00,5,5e-4,5e-4,2.3268,2.3392,0.822,0.8169,0.0447,0.0167,6.3048,6.2722,1.1558,1.1631,1.7205,1.7091,0.4346,0.1768,0.0307,0.0039,0.0011,0.001,0.0113,0.0112,0.0165,0.0157,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-17 09:51:00,6.2,5e-4,5e-4,2.3027,2.3405,0.8232,0.8226,0.0414,0.0166,6.4155,6.4076,1.1501,1.1666,1.7281,1.7162,0.5111,0.1253,0.0476,0.0052,0.0015,0.001,0.0113,0.0113,0.017,0.0162,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-17 10:00:00,8,5e-4,5e-4,2.3142,2.3105,0.8213,0.8163,0.0482,0.0146,6.4101,6.3164,1.1514,1.1457,1.7283,1.6917,0.5871,0.1182,0.0505,0.007,0.0017,0.001,0.0112,0.0111,0.0173,0.0156,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-17 10:08:00,9,5e-4,5e-4,2.3124,2.3045,0.829,0.8131,0.0516,0.016,6.4635,6.3343,1.1573,1.1487,1.7199,1.6942,0.5702,0.1101,0.0514,0.0077,0.0017,0.001,0.0114,0.0111,0.0172,0.0154,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-03-24 09:59:00,0.1,5e-4,5e-4,2.3697,2.4839,0.8113,0.809,0.0442,0.0302,6.039,6.0024,1.1652,1.2193,1.7108,1.6975,0.3607,0.2009,0.0139,0.0066,0.001,0.005,0.0112,0.0111,0.0157,0.0158,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0
FCR,50,2025-03-24 10:09:00,1.6,5e-4,5e-4,2.4118,2.3937,0.8182,0.808,0.0391,0.0207,6.0712,6.0148,1.1818,1.1677,1.7066,1.6935,0.3607,0.1871,0.0136,0.003,0.001,0.0017,0.0114,0.0111,0.0159,0.015,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
BVR,50,2025-03-24 10:10:00,0.1,5e-4,5e-4,2.1724,2.1589,0.7385,0.7156,0.0505,0.0192,5.0325,4.9395,1.296,1.2787,1.4293,1.4062,0.8174,0.4013,0.113,0.0591,0.001,0.001,0.0099,0.0097,0.0217,0.0189,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-24 10:15:00,3,5e-4,5e-4,2.1662,2.1589,0.7335,0.7272,0.0482,0.0185,5.0148,4.9814,1.2789,1.2797,1.4161,1.4159,0.8332,0.4109,0.1139,0.0587,0.001,0.001,0.0099,0.0098,0.0213,0.019,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-24 10:18:00,3.8,5e-4,5e-4,2.3912,2.7774,0.8222,0.8324,0.0389,0.0272,6.1258,6.0286,1.1811,1.2072,1.7209,1.7503,0.3711,0.1843,0.0155,0.0031,0.001,0.0012,0.0114,0.0118,0.0161,0.0142,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
BVR,50,2025-03-24 10:20:00,6,5e-4,5e-4,2.1354,2.1562,0.7212,0.7199,0.0453,0.0205,4.9403,4.9606,1.2667,1.27,1.4084,1.4117,0.8172,0.4278,0.1148,0.0598,0.001,0.001,0.0098,0.0098,0.0213,0.0199,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-24 10:23:00,5,5e-4,5e-4,2.3987,4.1345,0.8253,0.8236,0.0329,0.0211,6.0612,5.9924,1.1743,0.7617,1.7094,1.8163,0.3562,0.1778,0.0182,0.0017,0.001,0.001,0.0113,0.0109,0.0159,0.0096,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-24 10:33:00,6.2,5e-4,5e-4,2.3766,2.3929,0.8191,0.8132,0.0436,0.0189,6.0843,6.0732,1.1644,1.1683,1.687,1.6848,0.3692,0.1378,0.0193,0.0054,0.001,0.001,0.0112,0.0111,0.0158,0.0161,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-24 10:43:00,9,5e-4,5e-4,2.3483,2.3924,0.8287,0.8218,0.0402,0.0214,6.3049,6.2515,1.1682,1.182,1.7263,1.7249,0.4423,0.1425,0.0507,0.009,0.0016,0.0011,0.0113,0.0113,0.0171,0.0156,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-03-24 10:50:00,8,5e-4,5e-4,2.3765,2.3794,0.8265,0.815,0.0476,0.0207,6.1829,6.1419,1.174,1.1651,1.7111,1.6831,0.4213,0.1613,0.0344,0.0057,0.0013,0.001,0.0114,0.0111,0.0166,0.0154,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
BVR,50,2025-03-24 12:00:00,9,5e-4,5e-4,2.1492,2.1688,0.7774,0.7274,0.2587,0.0215,5.2661,4.916,1.3049,1.2821,1.4621,1.4315,1.5474,0.4355,0.194,0.1186,0.001,0.001,0.0102,0.01,0.0293,0.0203,1,8,8,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,8,0
FCR,100,2025-03-24 12:25:00,0.1,NA,5e-4,NA,2.2662,NA,0.7328,NA,0.019,NA,5.3185,NA,1.2768,NA,1.5066,NA,0.3099,NA,0.0141,NA,0.001,NA,0.0103,NA,0.0164,0,1,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,1,0,1,0
