Reservoir,Site,Depth_m,Filter,DataStream,Sample_ID,Sample_Date,start_parameter,end_parameter,flag,notes
FCR,100,0.1,T,Metals,15,7/22/2019,Mn_mgL,Mn_mgL,6,observation seems abnormally high.
FCR,100.1,0.1,T,Metals,29,3/24/2020,Li_mgL,Ba_mgL,8,Sample was originally labelled; '03/24/2020 - 29 (decant)'; name was edited for ease of automation
FCR,100.1,0.1,T,Metals,30,3/24/2020,Li_mgL,Ba_mgL,8,Sample was originally labelled; '03/24/2020 - 30 (decant)'; name was edited for ease of automation
BVR,50,9,S,Metals,26,4/20/2020,Si_mgL,Si_mgL,6,observation seems abnormally high.
BVR,50,10,T,Metals,67,9/2/2020,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,10/5/2020,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,10/5/2020,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,11/2/2020,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2/26/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,2/26/2021,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,3/22/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,3/22/2021,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,200,0.1,T,Metals,17,3/22/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,3/22/2021,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,4/16/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,4/16/2021,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,200,0.1,T,Metals,17,4/26/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/6/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/24/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/24/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,6/21/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,6/21/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,6/21/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,S,Metals,18,6/21/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,7/12/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,7/21/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,11/22/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,12/6/2021,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
BVR,50,9,S,Metals,26,2/6/2022,Mg_mgL,Mg_mgL,6,observation seems abnormally high.
FCR,100,0.1,T,Metals,15,3/17/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,3/17/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,4/19/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,4/19/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/2/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/2/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/9/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/9/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/17/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/17/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/23/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/23/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/31/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/31/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,6/7/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,6/13/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,6/13/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,6/20/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,6/20/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
BVR,50,3,T,Metals,21,6/20/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
BVR,50,8,T,Metals,69,6/20/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
CCR,50,21,T,Metals,15,6/27/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,6/27/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
CCR,50,21,T,Metals,57,6/30/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,7/18/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,8/1/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,8/18/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,8/18/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,50,9,T,Metals,13,8/29/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,8/29/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,8/29/2022,Li_mgL,Ba_mgL,8,Filtered sample had particulates. Set to NA for improper procedure
FCR,100,0.1,T,Metals,15,9/13/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,9/26/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,9/26/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,10/17/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,11/28/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,12/12/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,12/12/2022,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,2/3/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,4/4/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,4/4/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,4/18/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/1/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,S,Metals,16,5/1/2023,Ba_mgL,Ba_mgL,6,observation seems abnormally high.
FCR,100,0.1,T,Metals,15,5/8/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,5/16/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/22/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,200,0.1,T,Metals,17,5/29/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
FCR,100,0.1,T,Metals,15,6/5/2023,Li_mgL,Ba_mgL,4,sample had particulates and was microwave digested. See digestion notebook
