"Reservoir","Site","DateTime","StartDepth_m","EndDepth_m","Rep","CollectionMethod","InitialSampleVolume_mL","Subsample","SubsampleVolume_mL","Zooplankton_No."
"BVR",50,2019-07-10 18:45:00,4,0,"1","Tow",200,"A",2,343
"BVR",50,2019-07-10 18:45:00,4,0,"1","Tow",200,"B",1,163
"BVR",51,2019-07-10 18:45:00,2,0,"1","Tow",200,"A",2,17
"BVR",51,2019-07-10 18:45:00,2,0,"1","Tow",200,"B",2,24
"BVR",51,2019-07-10 18:45:00,2,0,"1","Tow",200,"C",3,29
"BVR",51,2019-07-10 18:45:00,2,0,"1","Tow",200,"D",3,56
"BVR",50,2019-07-10 19:45:00,4,0,"1","Tow",200,"A",1,126
"BVR",50,2019-07-10 19:45:00,4,0,"1","Tow",200,"B",1,96
"BVR",50,2019-07-10 19:45:00,4,0,"1","Tow",200,"C",1,147
"BVR",51,2019-07-10 19:45:00,2,0,"1","Tow",200,"A",2,57
"BVR",51,2019-07-10 19:45:00,2,0,"1","Tow",200,"B",2,75
"BVR",51,2019-07-10 19:45:00,2,0,"1","Tow",200,"C",2,75
"BVR",50,2019-07-10 20:45:00,4,0,"1","Tow",200,"A",1,206
"BVR",50,2019-07-10 20:45:00,4,0,"1","Tow",500,"B",1,69
"BVR",50,2019-07-10 20:45:00,4,0,"1","Tow",500,"C",1,76
"BVR",51,2019-07-10 20:45:00,2,0,"1","Tow",200,"A",2,26
"BVR",51,2019-07-10 20:45:00,2,0,"1","Tow",200,"B",2,39
"BVR",51,2019-07-10 20:45:00,2,0,"1","Tow",200,"C",2,28
"BVR",50,2019-07-10 21:45:00,4,0,"1","Tow",500,"A",1,85
"BVR",50,2019-07-10 21:45:00,4,0,"1","Tow",500,"B",1,86
"BVR",50,2019-07-10 21:45:00,4,0,"1","Tow",500,"C",1,130
"BVR",51,2019-07-10 21:45:00,2,0,"1","Tow",200,"A",1,15
"BVR",51,2019-07-10 21:45:00,2,0,"1","Tow",200,"B",3,59
"BVR",51,2019-07-10 21:45:00,2,0,"1","Tow",200,"C",2,20
"BVR",51,2019-07-11 04:10:00,2,0,"1","Tow",200,"A",2,81
"BVR",51,2019-07-11 04:10:00,2,0,"1","Tow",200,"B",1,38
"BVR",51,2019-07-11 04:10:00,2,0,"1","Tow",200,"C",1,39
"BVR",50,2019-07-11 04:10:00,4,0,"1","Tow",500,"A",1,73
"BVR",50,2019-07-11 04:10:00,4,0,"1","Tow",500,"B",1,65
"BVR",50,2019-07-11 04:10:00,4,0,"1","Tow",500,"C",1,66
"BVR",51,2019-07-11 05:10:00,2,0,"1","Tow",200,"A",2,33
"BVR",51,2019-07-11 05:10:00,2,0,"1","Tow",200,"B",2,65
"BVR",51,2019-07-11 05:10:00,2,0,"1","Tow",200,"C",2,27
"BVR",50,2019-07-11 05:10:00,4,0,"1","Tow",500,"A",1,70
"BVR",50,2019-07-11 05:10:00,4,0,"1","Tow",500,"B",1,61
"BVR",50,2019-07-11 05:10:00,4,0,"1","Tow",500,"C",1,44
"BVR",51,2019-07-10 11:37:00,2,0,"1","Tow",200,"A",2,22
"BVR",51,2019-07-10 11:37:00,2,0,"1","Tow",200,"B",3,76
"BVR",51,2019-07-10 11:37:00,2,0,"1","Tow",200,"C",3,53
"BVR",50,2019-07-10 11:30:00,4,0,"1","Tow",500,"A",1,15
"BVR",50,2019-07-10 11:30:00,4,0,"1","Tow",500,"B",3,31
"BVR",50,2019-07-10 11:30:00,4,0,"1","Tow",500,"C",5,130
"BVR",51,2019-07-11 23:43:00,2,0,"1","Tow",200,"A",2,17
"BVR",51,2019-07-11 23:43:00,2,0,"1","Tow",200,"B",3,18
"BVR",51,2019-07-11 23:43:00,2,0,"1","Tow",200,"C",5,38
"BVR",51,2019-07-11 23:43:00,2,0,"1","Tow",200,"D",5,46
"BVR",50,2019-07-11 00:25:00,4,0,"1","Tow",500,"A",1,62
"BVR",50,2019-07-11 00:25:00,4,0,"1","Tow",500,"B",1,63
"BVR",50,2019-07-11 00:25:00,4,0,"1","Tow",500,"C",1,60
