file,Reservoir,Date,Time,Site,Note
gga_2001-12-31_f0370,FCR,3/23/2026,11:22,50,windy
gga_2001-12-31_f0372,FCR,3/30/2026,12:21,50,
gga_2001-12-31_f0373,FCR,4/4/2026,13:03,50,
gga_2001-12-31_f0374,FCR,4/13/2026,11:00,50,
gga_2001-12-31_f0376,FCR,4/27/2026,14:00,50,
gga_2001-12-31_f0377,FCR,5/4/2026,10:15,50,"breezy, did 3 trials"
gga_2001-12-31_f0378,FCR,5/18/2026,11:26,50,
gga_2001-12-31_f0379,FCR,5/25/2026,9:42,50,
gga_2001-12-31_f0380,FCR,6/1/2026,12:51,50,
gga_2001-12-31_f0381,FCR,6/1/2026,13:00,50,use this
gga_2001-12-31_f0382,FCR,6/8/2026,11:47,50,"breezy, second cust"
gga_2001-12-31_f0383,FCR,6/15/2026,12:15,50,
gga_2001-12-31_f0385,FCR,6/22/2026,11:40,50,
gga_2001-12-31_f0386,FCR,6/29/2026,10:00,50,
gga_2001-12-31_f0387,FCR,7/6/2026,10:54,50,
gga_2001-12-31_f0388,FCR,7/13/2026,11:56,50,
