"Rep","Date","Start","End","co2_slope_ppmS","co2_R2","Temp_C","co2_flux_umolCm2s","Reservoir","Site","ch4_slope_ppmS","ch4_R2","ch4_flux_umolCm2s","co2_flux_umolCm2s_flag","ch4_flux_umolCm2s_flag"
1,2026-03-23,"11:22","11:25",-0.005,0.19,23.05,-0.03,"FCR",50,0.001,0.95,0.006,0,0
2,2026-03-23,"11:28","11:32",0,0,24.46,0,"FCR",50,0,0.97,0,0,0
1,2026-03-30,"12:21","12:24",-0.027,0.97,18,-0.163,"FCR",50,0,0.98,0,0,0
2,2026-03-30,"12:26","12:30",-0.03,0.98,18.45,-0.18,"FCR",50,0,0.99,0,0,0
1,2026-04-04,"13:03","13:06",-0.042,0.96,22.62,-0.249,"FCR",50,0.001,0.95,0.006,0,0
2,2026-04-04,"13:09","13:13",-0.035,0.97,22.89,-0.207,"FCR",50,0.001,0.97,0.006,0,0
1,2026-04-13,"11:00","11:03",-0.043,0.99,25.77,-0.252,"FCR",50,0.002,0.99,0.012,0,0
2,2026-04-13,"11:06","11:10",-0.034,0.97,26.88,-0.199,"FCR",50,0.001,0.99,0.006,0,0
1,2026-04-27,"14:00","14:03",-0.043,0.98,22.7,-0.255,"FCR",50,0.003,0.98,0.018,0,0
2,2026-04-27,"14:06","14:10",-0.048,0.99,23.42,-0.284,"FCR",50,0.003,0.99,0.018,0,0
1,2026-05-04,"10:15","10:18",-0.022,0.94,22.27,-0.131,"FCR",50,0.001,0.95,0.006,0,0
2,2026-05-04,"10:24","10:28",-0.02,0.89,23.07,-0.118,"FCR",50,0.001,0.9,0.006,0,0
1,2026-05-18,"11:26","11:29",-0.064,0.88,30.57,-0.369,"FCR",50,0,0.99,0,0,0
2,2026-05-18,"11:34","11:38",-0.047,0.99,32.88,-0.269,"FCR",50,0,0.99,0,0,0
1,2026-05-25,"09:42","09:45",-0.051,0.99,23.85,-0.301,"FCR",50,0.002,0.98,0.012,0,0
2,2026-05-25,"09:52","09:56",-0.05,0.99,24.88,-0.294,"FCR",50,0.002,0.99,0.012,0,0
1,2026-06-01,"13:00","13:03",-0.058,0.98,29.44,-0.336,"FCR",50,0.002,0.97,0.012,0,0
2,2026-06-01,"13:05","13:09",-0.067,0.99,29.42,-0.388,"FCR",50,0.003,0.97,0.017,0,0
1,2026-06-08,"11:47","11:50",-0.052,0.98,29.79,-0.301,"FCR",50,0.003,0.97,0.017,0,0
2,2026-06-08,"11:53","11:57",-0.058,0.97,30.91,-0.334,"FCR",50,0.004,0.97,0.023,0,0
1,2026-06-15,"12:15","12:18",-0.045,0.97,27.23,-0.263,"FCR",50,0.002,0.93,0.012,0,0
2,2026-06-15,"12:16","12:20",-0.044,0.95,27.55,-0.256,"FCR",50,0.002,0.86,0.012,0,0
1,2026-06-22,"11:40","11:43",-0.085,0.99,31.71,-0.489,"FCR",50,0.003,0.98,0.017,0,0
2,2026-06-22,"11:46","11:50",-0.081,0.99,32.88,-0.464,"FCR",50,0.004,0.99,0.023,0,0
1,2026-06-29,"10:00","10:03",-0.047,0.99,27.1,-0.274,"FCR",50,0.001,1,0.006,0,0
2,2026-06-29,"10:09","10:13",-0.042,0.92,28.24,-0.244,"FCR",50,0.001,0.99,0.006,0,0
1,2026-07-06,"10:54","10:57",-0.011,0.28,30.8,-0.063,"FCR",50,0.002,0.95,0.012,0,0
2,2026-07-06,"11:00","11:04",0,0,32.51,0,"FCR",50,0.002,0.97,0.011,0,0
1,2026-07-13,"11:56","11:59",0.075,0.94,27.17,0.438,"FCR",50,0.004,0.94,0.023,0,0
2,2026-07-13,"12:01","12:05",0.067,0.95,28.06,0.39,"FCR",50,0.004,0.95,0.023,0,0
