Reservoir,Site,DateTime,Secchi_m,Flag_Secchi,Notes
FCR,50,02/08/21 11:15,1.4,0,
FCR,50,02/26/21 12:20,1.5,0,
BVR,50,03/08/21 11:20,2.26,0,
FCR,50,03/22/21 11:40,1.75,0,
BVR,50,04/05/21 11:00,1.3,0,
FCR,50,04/16/21 13:25,1.5,0,
FCR,50,04/18/21 10:25,1.45,0,First time taken
CCR,50,04/19/21 10:54,2.9,0,
BVR,50,05/03/21 10:45,2.2,0,
BVR,50,05/14/21 11:26,2.75,0,
FCR,50,05/24/21 12:28,1.25,0,
BVR,50,05/31/21 10:18,3,0,
FCR,50,05/31/21 12:00,0.6,0,
FCR,50,06/07/21 11:54,0.3,0,
FCR,50,06/15/21 12:01,0.5,0,
BVR,50,06/15/21 17:26,3.1,0,
FCR,50,06/21/21 11:09,0.25,0,
BVR,50,06/28/21 11:27,2.8,0,
FCR,50,06/28/21 12:00,0.6,1,time not recorded
CCR,50,07/01/21 11:00,3.4,0,
FCR,50,07/07/21 16:07,1.75,0,
FCR,50,07/12/21 17:11,2.25,0,
BVR,50,07/12/21 14:48,2.85,0,
FCR,50,07/21/21 14:06,1.3,0,
CCR,50,07/28/21 10:41,2.7,0,
BVR,50,07/26/21 10:30,2.4,0,
FCR,50,07/26/21 14:20,2.05,0,
FCR,50,08/02/21 11:41,1.9,0,
BVR,50,08/09/21 10:40,1.4,0,
FCR,50,08/09/21 14:37,1.8,0,
CCR,50,08/19/21 12:18,2.35,0,
BVR,50,08/23/21 10:05,1.3,0,
FCR,50,08/23/21 13:58,1.75,0,
FCR,50,08/31/21 12:00,1.9,0,
BVR,50,09/06/21 10:35,1.25,0,
FCR,50,09/06/21 14:02,2.2,0,
FCR,50,09/14/21 14:05,3,0,
BVR,50,09/21/21 10:55,2.25,0,
FCR,50,09/21/21 15:54,2,0,
CCR,50,09/23/21 14:24,2.1,0,
FCR,50,09/27/21 13:35,1.9,0,
FCR,50,10/04/21 14:35,1.8,0,
FCR,50,10/11/21 13:32,1.5,0,
BVR,50,10/12/21 12:00,1.95,0,
FCR,50,10/18/21 12:38,1.5,0,
FCR,50,10/25/21 13:22,1.4,0,
BVR,50,10/26/21 12:09,1,0,
FCR,50,11/03/21 11:44,1.25,0,
FCR,50,11/08/21 12:12,1.3,0,
BVR,50,11/09/21 11:39,1.2,0,
CCR,50,11/19/21 12:56,1.79,0,
BVR,50,11/22/21 10:09,1.8,0,
FCR,50,11/22/21 14:18,2.3,0,
BVR,50,12/06/21 10:27,1.75,0,
FCR,50,12/06/21 13:00,1.75,0,
