
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20211108,,Exported,"Aqua4Plus 1.9.10"
# Records,  2681 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,1.31,13.970,
,Maximum,12.75,14.310,
,Mean,6.83,14.110,
,Variance,7.360,0.0054,
,Std Deviation,2.713,0.0738,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,8-Nov-21 14:08:09,11.13,14.185
2,8-Nov-21 14:23:09,10.69,14.177
3,8-Nov-21 14:38:09,10.50,14.176
4,8-Nov-21 14:53:09,10.44,14.175
5,8-Nov-21 15:08:09,10.44,14.176
6,8-Nov-21 15:23:09,10.44,14.173
7,8-Nov-21 15:38:09,10.38,14.173
8,8-Nov-21 15:53:09,10.38,14.173
9,8-Nov-21 16:08:09,10.31,14.174
10,8-Nov-21 16:23:09,10.19,14.175
11,8-Nov-21 16:38:09,10.13,14.174
12,8-Nov-21 16:53:09,10.06,14.174
13,8-Nov-21 17:08:09,9.94,14.175
14,8-Nov-21 17:23:09,9.81,14.176
15,8-Nov-21 17:38:09,9.75,14.178
16,8-Nov-21 17:53:09,9.69,14.181
17,8-Nov-21 18:08:09,9.63,14.182
18,8-Nov-21 18:23:09,9.56,14.183
19,8-Nov-21 18:38:09,9.50,14.184
20,8-Nov-21 18:53:09,9.44,14.186
21,8-Nov-21 19:08:09,9.38,14.187
22,8-Nov-21 19:23:09,9.31,14.188
23,8-Nov-21 19:38:09,9.25,14.186
24,8-Nov-21 19:53:09,9.25,14.186
25,8-Nov-21 20:08:09,9.19,14.188
26,8-Nov-21 20:23:09,9.25,14.185
27,8-Nov-21 20:38:09,9.25,14.189
28,8-Nov-21 20:53:09,9.19,14.191
29,8-Nov-21 21:08:09,9.19,14.193
30,8-Nov-21 21:23:09,9.19,14.193
31,8-Nov-21 21:38:09,9.13,14.195
32,8-Nov-21 21:53:09,9.13,14.195
33,8-Nov-21 22:08:09,9.06,14.194
34,8-Nov-21 22:23:09,9.06,14.194
35,8-Nov-21 22:38:09,9.00,14.194
36,8-Nov-21 22:53:09,8.94,14.193
37,8-Nov-21 23:08:09,8.94,14.193
38,8-Nov-21 23:23:09,8.94,14.192
39,8-Nov-21 23:38:09,9.00,14.194
40,8-Nov-21 23:53:09,9.00,14.194
41,9-Nov-21 00:08:09,9.00,14.193
42,9-Nov-21 00:23:09,9.00,14.193
43,9-Nov-21 00:38:09,9.00,14.192
44,9-Nov-21 00:53:09,9.00,14.191
45,9-Nov-21 01:08:09,9.00,14.191
46,9-Nov-21 01:23:09,9.00,14.190
47,9-Nov-21 01:38:09,9.00,14.189
48,9-Nov-21 01:53:09,9.00,14.191
49,9-Nov-21 02:08:09,9.00,14.190
50,9-Nov-21 02:23:09,9.00,14.191
51,9-Nov-21 02:38:09,9.00,14.190
52,9-Nov-21 02:53:09,9.00,14.188
53,9-Nov-21 03:08:09,8.94,14.187
54,9-Nov-21 03:23:09,8.94,14.187
55,9-Nov-21 03:38:09,8.94,14.185
56,9-Nov-21 03:53:09,8.94,14.185
57,9-Nov-21 04:08:09,8.88,14.185
58,9-Nov-21 04:23:09,8.88,14.183
59,9-Nov-21 04:38:09,8.88,14.183
60,9-Nov-21 04:53:09,8.81,14.185
61,9-Nov-21 05:08:09,8.88,14.185
62,9-Nov-21 05:23:09,8.81,14.184
63,9-Nov-21 05:38:09,8.81,14.185
64,9-Nov-21 05:53:09,8.81,14.185
65,9-Nov-21 06:08:09,8.81,14.185
66,9-Nov-21 06:23:09,8.75,14.185
67,9-Nov-21 06:38:09,8.81,14.187
68,9-Nov-21 06:53:09,8.75,14.187
69,9-Nov-21 07:08:09,8.75,14.188
